site_plot,trial,date_sterilized,date_check_1,date_check_2,seeds,seeds_dark_check_1,seeds_light_check_1,seeds_dark_check_2,seeds_light_check_2,germination_final,seedlings_lesions,notes
D2 7F,2,2/13/20,2/18/20,2/23/20,30,0,1,2,5,18,0,
D2 7W,2,2/6/20,2/11/20,2/16/20,30,1,3,4,7,26,0,
D2 8F,2,10/16/19,10/21/19,10/26/19,30,0,5,0,10,22,0,
D2 8W,2,2/6/20,2/11/20,2/16/20,30,0,3,1,5,21,0,
D2 9F,2,2/6/20,2/11/20,2/16/20,30,0,0,0,3,19,0,
D2 9W,2,2/13/20,2/18/20,2/23/20,30,0,0,0,4,21,0,
D3 10F,2,7/18/19,7/23/19,7/28/19,29,2,6,4,7,18,0,
D3 10W,2,7/11/19,7/16/19,7/21/19,30,4,6,7,10,18,2,
D3 1F,2,7/11/19,7/16/19,7/21/19,30,2,4,3,7,17,1,
D3 1W,2,10/15/19,10/20/19,10/25/19,30,2,13,3,14,25,0,Sample was taken on day 11
D3 2F,2,7/23/19,7/28/19,7/2/19,29,5,0,5,0,24,1,Seeds could be contaminated (faulty autoclave)
D3 2W,2,2/13/20,2/18/20,2/23/20,30,0,2,3,7,17,0,
D3 3F,2,7/18/19,7/23/19,7/28/19,30,1,3,2,4,22,0,
D3 3W,2,7/11/19,7/16/19,7/21/19,30,6,3,8,5,16,2,
D3 4F,2,10/15/19,10/20/19,10/25/19,30,0,4,2,3,23,0,Sample was taken on day 11
D3 4W,2,10/16/19,10/21/19,10/26/19,30,2,5,2,4,18,1,plate had two dark markings circled and counted them as white marks the first time. We aren't sure if they were white and turned dark. Counted as white
D3 5F,2,2/7/20,2/12/20,2/17/20,30,1,1,2,9,14,0,
D3 5W,2,2/13/20,2/18/20,2/23/20,30,0,1,1,6,22,0,
D3 6F,2,2/7/20,2/12/20,2/17/20,30,0,2,2,18,28,0,
D3 6W,2,7/23/19,7/28/19,7/2/19,30,5,3,6,4,19,2,Seeds could be contaminated (faulty autoclave). Entire plate covered with dark fungus
D3 7F,2,1/30/20,2/4/20,2/9/20,30,0,1,0,2,26,0,
D3 7W,2,7/11/19,7/16/19,7/21/19,30,7,3,7,4,16,0,
D3 8F,2,7/23/19,7/28/19,7/2/19,30,2,1,2,3,16,2,Seeds could be contaminated (faulty autoclave)
D3 8W,2,7/18/19,7/23/19,7/28/19,30,2,6,2,6,23,2,
D3 9F,2,7/23/19,7/28/19,7/2/19,30,1,14,1,14,20,0,Seeds could be contaminated (faulty autoclave); All the white infection has now turned dark due to spores (?)
D3 9W,2,7/11/19,7/16/19,7/21/19,30,6,3,6,5,20,1,
D4 10W,2,2/6/20,2/11/20,2/16/20,30,1,3,2,4,20,0,
D4 1F,2,2/7/20,2/12/20,2/17/20,30,0,1,0,8,14,0,
D4 1W,2,2/13/20,2/18/20,2/23/20,30,0,2,3,10,21,0,
D4 2F,2,7/18/19,7/23/19,7/28/19,30,0,4,0,12,23,0,
D4 2W,2,7/11/19,7/16/19,7/21/19,30,3,2,3,3,19,0,lots of infection just throughout the plate
D4 3F,2,2/7/20,2/12/20,2/17/20,30,1,2,3,7,18,0,
D4 3W,2,7/18/19,7/23/19,7/28/19,30,3,3,3,8,11,1,
D4 4F,2,2/13/20,2/18/20,2/23/20,30,0,2,4,6,24,0,
D4 4W,2,10/16/19,10/21/19,10/26/19,30,4,5,7,3,26,0,plate labeled as D4 4W but this was the only missing date so we aren't sure if it was labelled incorrectly 
D4 5F,2,7/11/19,7/16/19,7/21/19,30,2,3,2,4,22,0,
D4 5W,2,7/23/19,7/28/19,7/2/19,30,2,3,2,4,22,1,Seeds could be contaminated (faulty autoclave). Could be a lesion but entire leaf is just brown 
D4 6F,2,7/11/19,7/16/19,7/21/19,30,2,2,2,5,20,0,
D4 6W,2,10/16/19,10/21/19,10/26/19,30,2,3,2,6,25,0,Sample was taken on day 11
D4 7F,2,2/13/20,2/18/20,2/23/20,30,3,4,4,8,15,0,
D4 7W,2,2/13/20,2/18/20,2/23/20,30,1,1,1,6,19,0,
D4 8W,2,1/30/20,2/4/20,2/9/20,30,1,4,1,9,22,0,
D4 9F,2,2/7/20,2/12/20,2/17/20,30,0,1,0,5,25,0,
D4 9W,2,7/23/19,7/28/19,7/2/19,30,2,3,3,4,17,1,Seeds could be contaminated (faulty autoclave)
D3 5F,3,3/18/20,3/23/20,3/28/20,30,0,2,0,2,29,0,
D3 5W,3,3/23/20,3/28/20,4/2/20,30,0,1,0,1,30,0,
D3 6F,3,3/18/20,3/23/20,3/28/20,30,0,1,1,2,29,0,
D3 6W,3,2/20/20,2/25/20,3/1/20,30,0,0,0,2,23,0,
D3 7F,3,3/18/20,3/23/20,3/28/20,30,0,2,0,8,28,0,
D3 7W,3,2/17/20,2/22/20,2/27/20,30,0,2,0,3,25,0,
D3 8F,3,2/20/20,2/25/20,3/1/20,30,0,1,0,5,27,0,
D3 8W,3,2/20/20,2/25/20,3/1/20,30,0,1,0,4,28,0,
D3 9F,3,2/20/20,2/25/20,3/1/20,30,0,1,0,3,27,0,
D3 9W,3,2/13/20,2/18/20,2/23/20,30,1,2,2,3,25,0,
D4 10W,3,3/23/20,3/28/20,4/2/20,30,0,1,0,1,26,0,
D4 1F,3,3/18/20,3/23/20,3/28/20,30,0,1,0,7,25,0,
D4 1W,3,3/23/20,3/28/20,4/2/20,30,0,2,0,5,29,0,
D4 2F,3,2/17/20,2/22/20,2/27/20,30,0,1,0,8,24,0,
D4 2W,3,2/17/20,2/22/20,2/27/20,30,0,0,0,2,25,0,
D4 3F,3,3/18/20,3/23/20,3/28/20,30,0,1,2,8,18,0,
D4 3W,3,2/17/20,2/22/20,2/27/20,30,0,2,1,6,24,0,
D4 4F,3,3/18/20,3/23/20,3/28/20,30,0,0,0,10,29,0,
D4 4W,3,3/23/20,3/28/20,4/2/20,22,0,2,0,3,22,0,
D4 5F,3,2/20/20,2/25/20,3/1/20,30,0,1,0,6,23,0,
D4 5W,3,2/20/20,2/25/20,3/1/20,30,0,4,0,7,27,0,
D4 6F,3,2/20/20,2/25/20,3/1/20,30,0,0,0,3,26,0,
D4 6W,3,3/23/20,3/28/20,4/2/20,30,0,3,0,9,26,0,
D4 7F,3,2/20/20,2/25/20,3/1/20,30,0,3,0,7,27,0,
D4 7W,3,3/18/20,3/23/20,3/28/20,29,0,3,0,14,23,0,
D4 8W,3,3/18/20,3/23/20,3/28/20,30,0,2,0,11,24,0,
D4 9F,3,3/18/20,3/23/20,3/28/20,30,0,0,1,4,24,0,
D4 9W,3,2/20/20,2/25/20,3/1/20,30,0,1,0,9,22,0,
D3 10F,4,3/23/20,3/28/20,4/2/20,30,0,3,2,7,27,0,
D2 9W,4,3/23/20,3/28/20,4/2/20,30,0,8,1,9,29,0,"plate originally labelled D2 9W, I thought it might be D1 9W because this was the only sample without data (last set), but the microcentrifuge tube was labelled D2 and the bag of seeds for D1 9W was buried pretty well and didn't have three marks on it while the D2 bag did"
