process_date,site,plot,treatment,sp,plant,flowers,stem_seed_weight.g,biomass_weight.g,process_notes
2/25/20,D2,2,water,Mv,2,6,0.691,20.1,
2/22/20,D2,2,water,Mv,3,12,1.3746,22.23,
3/10/20,D2,3,water,Mv,1,7,0.2091,4.85,
3/10/20,D2,3,water,Mv,2,7,0.127,5.94,
3/11/20,D2,3,water,Mv,3,5,0.1123,5.81,
2/28/20,D2,4,water,Mv,1,2,0.2749,7.99,
3/10/20,D2,4,water,Mv,2,3,0.122,4.65,
2/26/20,D2,4,water,Mv,3,1,0.1247,NA,original value: 40.22; this value is way higher than the other two in the plot and way higher than expected based on seeds
3/11/20,D2,5,water,Mv,1,15,0.7046,20.27,
2/29/20,D2,5,water,Mv,2,43,1.5593,36.68,
3/11/20,D2,5,water,Mv,3,30,1.066,30.73,
2/22/20,D2,6,water,Mv,1,2,0.2728,12.64,
2/26/20,D2,6,water,Mv,2,5,0.3375,16.49,
2/26/20,D2,6,water,Mv,3,5,0.2363,8.75,
3/10/20,D2,7,water,Mv,1,11,2.0794,26.07,
3/10/20,D2,7,water,Mv,2,14,0.7049,29.62,
3/10/20,D2,7,water,Mv,3,1,0.8713,25.58,
2/26/20,D2,8,water,Mv,1,10,0.3935,17.3,
2/25/20,D2,8,water,Mv,2,12,0.2745,10.73,
2/22/20,D2,8,water,Mv,3,8,1.3925,36.62,
2/28/20,D2,9,water,Mv,1,0,0.0561,5.98,
3/10/20,D2,9,water,Mv,2,2,0.0441,8.08,
2/25/20,D2,9,water,Mv,3,2,0.1106,9.89,
2/28/20,D2,10,water,Mv,1,1,0.1084,6.27,
3/10/20,D2,10,water,Mv,2,2,0.3833,13.75,
3/10/20,D2,10,water,Mv,3,4,0.3405,12.49,
12/17/19,D3,1,fungicide,Mv,1,13,0.768,27.04,
1/17/20,D3,1,fungicide,Mv,2,1,0.218,9.06,
2/4/20,D3,1,fungicide,Mv,3,3,0.5882,12.66,
2/4/20,D3,2,fungicide,Mv,1,5,1.7602,39.97,
2/4/20,D3,2,fungicide,Mv,2,5,0.3785,11.8,
1/29/20,D3,2,fungicide,Mv,3,7,1.026,30.8,
1/27/20,D3,3,fungicide,Mv,1,4,0.4213,13.19,
1/27/20,D3,3,fungicide,Mv,2,6,0.2858,10.59,
1/27/20,D3,3,fungicide,Mv,3,2,0.4034,12.63,
1/22/20,D3,4,fungicide,Mv,1,7,0.2973,8.41,
12/7/19,D3,4,fungicide,Mv,2,2,0.1385,4.93,
1/31/20,D3,4,fungicide,Mv,3,2,0.1681,5.53,
1/31/20,D3,5,fungicide,Mv,1,12,0.8526,31.77,
1/29/20,D3,5,fungicide,Mv,2,8,0.658,23.44,
1/31/20,D3,5,fungicide,Mv,3,7,0.4008,17.4,
NA,D3,6,fungicide,Mv,1,5,0.4952,5.64,
NA,D3,6,fungicide,Mv,2,8,0.7215,9.04,
12/7/19,D3,6,fungicide,Mv,3,14,0.3914,14.23,
1/29/20,D3,7,fungicide,Mv,1,3,0.7798,24.67,
2/4/20,D3,7,fungicide,Mv,2,7,1.1784,NA,"biomass from D4 8W Mv1 added to bag, total = 17.28"
12/7/19,D3,7,fungicide,Mv,3,5,0.3273,11.85,
12/7/19,D3,8,fungicide,Mv,1,31,0.7965,25.95,
1/22/20,D3,8,fungicide,Mv,2,10,0.7901,26.25,
1/22/20,D3,8,fungicide,Mv,3,9,0.5342,14.52,
12/17/19,D3,9,fungicide,Mv,1,11,0.3826,11.12,
1/27/20,D3,9,fungicide,Mv,2,3,0.1771,11.59,
12/17/20,D3,9,fungicide,Mv,3,22,1.1185,29.08,
1/29/20,D3,10,fungicide,Mv,1,8,0.3734,6.22,
1/31/20,D3,10,fungicide,Mv,2,2,0.2604,7.34,
1/31/20,D3,10,fungicide,Mv,3,3,0.0915,10.88,
1/31/20,D3,1,water,Mv,1,2,0.5727,12.67,
1/27/20,D3,1,water,Mv,2,9,1.4327,14.95,
1/22/20,D3,1,water,Mv,3,9,0.7787,13.72,
1/22/20,D3,2,water,Mv,1,2,0.6237,14.51,
1/17/20,D3,2,water,Mv,2,11,0.712,13.73,
12/17/19,D3,2,water,Mv,3,12,0.7114,25.66,
1/29/20,D3,3,water,Mv,1,17,1.0519,19.49,
1/31/20,D3,3,water,Mv,2,13,0.4037,9.6,
1/29/20,D3,3,water,Mv,3,6,0.3886,10.19,
1/27/20,D3,4,water,Mv,1,NA,0.1367,4.14,
1/27/20,D3,4,water,Mv,2,0,0.0747,4.2,
12/17/19,D3,4,water,Mv,3,5,0.3467,8.89,
12/17/19,D3,5,water,Mv,1,12,0.4102,12.97,
12/17/19,D3,5,water,Mv,2,8,0.668,18.55,
1/29/20,D3,5,water,Mv,3,22,0.7394,15.33,
12/17/19,D3,6,water,Mv,1,12,0.509,14.58,
3/4/20,D3,6,water,Mv,2,17,0.8391,15.1,
1/17/20,D3,6,water,Mv,3,13,0.5601,8.26,
12/7/19,D3,7,water,Mv,1,7,0.4996,11.08,
1/31/20,D3,7,water,Mv,2,2,0.3436,11.36,
1/29/20,D3,7,water,Mv,3,8,0.4723,10.44,
NA,D3,8,water,Mv,1,14,0.5746,13.57,
1/31/20,D3,8,water,Mv,2,7,0.6971,18.97,
1/31/20,D3,8,water,Mv,3,7,0.5219,21.76,
1/17/20,D3,9,water,Mv,1,11,0.4729,6.14,
12/17/19,D3,9,water,Mv,2,19,0.5662,13.34,
12/17/19,D3,9,water,Mv,3,8,0.5963,13.67,
1/31/20,D3,10,water,Mv,1,4,0.1107,10.69,
12/7/19,D3,10,water,Mv,2,13,0.5236,14.76,
NA,D3,10,water,Mv,3,9,1.3333,18.68,
2/12/20,D4,1,fungicide,Mv,1,9,0.4037,11.82,
2/14/20,D4,1,fungicide,Mv,2,27,0.6868,24.3,
2/12/20,D4,1,fungicide,Mv,3,7,0.2251,6.96,
2/4/20,D4,2,fungicide,Mv,1,11,1.3955,15.21,
2/12/20,D4,2,fungicide,Mv,2,14,0.7099,16.8,
2/14/20,D4,2,fungicide,Mv,3,4,0.2527,9,
2/11/20,D4,3,fungicide,Mv,1,12,0.5007,12.58,
2/15/20,D4,3,fungicide,Mv,2,13,0.991,32.11,
2/15/20,D4,3,fungicide,Mv,3,8,0.3848,9.54,
2/15/20,D4,4,fungicide,Mv,1,0,0.081,4.82,
2/19/20,D4,4,fungicide,Mv,2,9,0.2335,10.32,
2/12/20,D4,4,fungicide,Mv,3,24,0.4363,16.94,
NA,D4,5,fungicide,Mv,1,30,0.8995,12.9,
2/12/20,D4,5,fungicide,Mv,2,16,0.3415,12.39,
2/11/20,D4,5,fungicide,Mv,3,18,1.0713,18.24,
2/14/20,D4,6,fungicide,Mv,1,18,1.1241,20.45,
2/5/20,D4,6,fungicide,Mv,2,4,0.6113,14.11,
2/19/20,D4,6,fungicide,Mv,3,17,0.5167,15.39,
2/14/20,D4,7,fungicide,Mv,1,31,1.1935,31.56,
2/11/20,D4,7,fungicide,Mv,2,36,0.7058,24.77,
2/14/20,D4,7,fungicide,Mv,3,38,1.1817,29.03,
2/1/20,D4,8,fungicide,Mv,1,15,0.6263,21.5,
2/11/20,D4,8,fungicide,Mv,2,20,0.5177,16.83,
2/5/20,D4,8,fungicide,Mv,3,66,1.0151,26.66,
2/8/20,D4,9,fungicide,Mv,1,8,0.8685,15.44,
2/8/20,D4,9,fungicide,Mv,2,14,0.6493,22.9,
2/8/20,D4,9,fungicide,Mv,3,7,0.2655,10.33,
2/8/20,D4,10,fungicide,Mv,1,16,1.0225,15.47,
2/5/20,D4,10,fungicide,Mv,2,6,1.0693,18.71,
2/5/20,D4,10,fungicide,Mv,3,6,0.2286,8.82,
2/5/20,D4,1,water,Mv,1,12,0.3562,11.15,
2/12/20,D4,1,water,Mv,2,3,0.4247,12.78,
NA,D4,1,water,Mv,3,2,0.5095,5.82,
2/5/20,D4,2,water,Mv,1,31,0.5936,14.88,
2/5/20,D4,2,water,Mv,2,10,0.8474,9.33,
2/8/20,D4,2,water,Mv,3,3,0.219,5.83,
2/12/20,D4,3,water,Mv,1,16,0.6253,12.91,
2/12/20,D4,3,water,Mv,2,22,0.7361,19.9,
2/12/20,D4,3,water,Mv,3,23,0.6732,19.67,
2/15/20,D4,4,water,Mv,1,6,0.2399,7.65,
2/19/20,D4,4,water,Mv,2,8,0.3345,9.32,
2/12/20,D4,4,water,Mv,3,4,0.2418,7.67,
2/15/20,D4,5,water,Mv,1,8,0.121,5.08,
2/14/20,D4,5,water,Mv,2,9,0.4899,15.05,
2/15/20,D4,5,water,Mv,3,5,0.1695,5.19,
2/12/20,D4,6,water,Mv,1,17,0.476,10.35,
2/11/20,D4,6,water,Mv,2,50,1.3842,24.03,
2/12/20,D4,6,water,Mv,3,26,0.8859,13.05,
2/12/20,D4,7,water,Mv,1,58,2.4183,38.24,
2/19/20,D4,7,water,Mv,2,30,0.8435,23.59,
2/5/20,D4,7,water,Mv,3,20,1.0743,24.12,
2/4/20,D4,8,water,Mv,1,5,0.2272,NA,No biomass to weigh; it was added to D3 7F Mv2
2/5/20,D4,8,water,Mv,2,5,0.0468,2.7,
2/8/20,D4,8,water,Mv,3,7,0.7848,17.45,
2/5/20,D4,9,water,Mv,1,4,0.1755,7.02,
2/5/20,D4,9,water,Mv,2,7,1.2707,11.79,
2/11/20,D4,9,water,Mv,3,10,0.4424,8.36,
2/5/20,D4,10,water,Mv,1,21,0.5548,18.76,
2/4/20,D4,10,water,Mv,2,0,0.2073,6.86,
2/8/20,D4,10,water,Mv,3,3,0.176,1.67,
