site,plot,plant,collect_date,spikelet_date,spikelet_notes,experiment,treatment,month,ID,focal,age,seed_date,ID_unclear,sp,spikelets,spikelet_weight.mg,seeds,seed_weight.mg,reps,spikelet_weight.g
D1,4,EVA,20180801,20190214,NA,density,water,early August,A,1,adult,20190312,0,Ev,76,499,31,41,1,0.499
D1,10,EVAR4,20180801,20190214,NA,density,water,early August,R4,0,adult,NA,0,Ev,14,133,9.682075882055148,NA,1,0.133
D1,8,EVAR2,20180801,20190214,NA,density,water,early August,R2,0,adult,NA,0,Ev,23,162,11.793205209721307,NA,1,0.162
D2,10,EVAR4,20180801,20190214,NA,density,water,early August,R4,0,adult,NA,1,Ev,108,1253,91.2153464677827,NA,1,1.253
D2,9,EVAR3,20180801,20190214,NA,density,water,early August,R3,0,adult,NA,0,Ev,19,243,17.68980781458196,NA,1,0.243
D2,1,EVA,20180801,20190214,NA,density,water,early August,A,1,adult,NA,0,Ev,30,365,26.571110503384425,NA,1,0.365
D2,9,EVAR1,20180801,20190214,NA,density,fungicide,early August,R1,0,adult,NA,0,Ev,11,99,7.206958739274133,NA,1,0.099
D2,10,EVAS1,20180801,20190214,NA,density,water,early August,S1,0,adult,NA,0,Ev,19,299,21.76647134386834,NA,1,0.299
D2,4,EVA,20180801,20190214,NA,density,fungicide,early August,A,1,adult,NA,0,Ev,44,516,37.56354251985305,NA,1,0.516
D2,2,EVA,20180802,20190214,NA,density,water,early August,A,1,adult,NA,0,Ev,20,68,4.950234285562031,NA,1,0.068
D2,5,EVA,20180802,20190214,NA,density,water,early August,A,1,adult,NA,0,Ev,59,206,14.996297982732033,NA,1,0.206
D2,1,EVA,20180802,20190214,NA,density,fungicide,early August,A,1,adult,NA,0,Ev,28,366,26.6439080664074,NA,1,0.366
D2,10,EVAS1,20180802,20190214,NA,density,fungicide,early August,S1,0,adult,NA,0,Ev,29,380,27.663073948728993,NA,1,0.38
D2,6,EVA,20180802,20190214,NA,density,water,early August,A,1,adult,NA,0,Ev,17,186,13.540346722272613,NA,1,0.186
D3,2,EVA,20180802,20190214,NA,density,water,early August,A,1,adult,NA,0,Ev,45,452,32.904498486382906,NA,1,0.452
D3,3,EVA,20180802,20190214,NA,density,water,early August,A,1,adult,NA,0,Ev,26,253,18.417783444811672,NA,1,0.253
D3,9,EVA,20180802,20190214,NA,density,water,early August,A,1,adult,NA,0,Ev,26,186,13.540346722272613,NA,1,0.186
D3,8,EVA,20180802,20190214,NA,density,fungicide,early August,A,1,adult,NA,0,Ev,36,320,23.29522016735073,NA,1,0.32
D3,8,EVAR2,20180802,20190214,NA,density,water,early August,R2,0,adult,NA,0,Ev,27,380,27.663073948728993,NA,1,0.38
D3,7,EVA,20180802,20190214,NA,density,fungicide,early August,A,1,adult,NA,0,Ev,43,412,29.992595965464066,NA,1,0.412
D3,6,EVA,20180802,20190214,NA,density,fungicide,early August,A,1,adult,NA,0,Ev,16,113,8.226124621595726,NA,1,0.113
D3,1,EVA,20180802,20190214,NA,density,fungicide,early August,A,1,adult,NA,0,Ev,39,253,18.417783444811672,NA,1,0.253
D4,7,EVA,20180802,20190215,typo corrected,density,fungicide,early August,A,1,adult,NA,0,Ev,80,1208,87.93945613174901,NA,1,1.208
D4,2,EVA,20180802,20190215,NA,density,water,early August,A,1,adult,NA,0,Ev,29,349,25.40634949501689,NA,1,0.349
D4,5,EVA,20180802,20190215,NA,density,water,early August,A,1,adult,NA,0,Ev,36,318,23.149625041304787,NA,1,0.318
D4,5,EVR1,20180802,20190215,NA,density,fungicide,early August,R1,0,seedling,20190312,0,Ev,11,55,11,13,1,0.055
D4,3,EVA,20180802,20190215,NA,density,fungicide,early August,A,1,adult,20190312,0,Ev,42,619,50,168,1,0.619
D4,2,EVA,20180802,20190215,NA,density,fungicide,early August,A,1,adult,NA,0,Ev,24,140,10.191658823215946,NA,1,0.14
D2,7,EVR10,20180829,20190218,NA,density,water,late August,R10,0,seedling,NA,0,Ev,16,133,9.682075882055148,NA,1,0.133
D2,7,EV2,20180829,20190218,NA,density,water,late August,2,1,seedling,NA,0,Ev,12,82,5.969400167883625,NA,1,0.082
D2,7,EV1,20180829,20190218,NA,density,water,late August,1,1,seedling,NA,0,Ev,2,17,1.2375585713905077,NA,1,0.017
D2,8,EVAR1,20180829,20190218,NA,density,water,late August,R1,0,adult,NA,0,Ev,36,394,28.682239831050587,NA,1,0.394
D2,8,EVA,20180829,20190218,NA,density,water,late August,A,1,adult,NA,0,Ev,14,104,7.570946554388987,NA,1,0.104
D2,8,EV1,20180829,20190218,NA,density,water,late August,1,1,seedling,NA,0,Ev,12,88,6.406185546021451,NA,1,0.088
D2,8,EV2,20180829,20190218,NA,density,water,late August,2,1,seedling,NA,0,Ev,28,177,12.885168655065872,NA,1,0.177
D2,8,EV3,20180829,20190218,NA,density,water,late August,3,1,seedling,NA,0,Ev,10,60,4.367853781378262,NA,1,0.06
D2,8,EVAR2,20180829,20190218,NA,density,water,late August,R2,0,adult,NA,0,Ev,17,129,9.390885629963263,NA,1,0.129
D2,10,EV2,20180829,20190218,NA,density,water,late August,2,1,seedling,NA,0,Ev,16,140,10.191658823215946,NA,1,0.14
D2,10,EVAS1,20180829,20190218,NA,density,water,late August,S1,0,adult,NA,0,Ev,30,242,17.61701025155899,NA,1,0.242
D2,10,EVAR5,20180829,20190218,NA,density,water,late August,R5,0,adult,NA,0,Ev,122,1596,116.18491058466178,NA,1,1.596
D2,10,EVAR1,20180829,20190218,NA,density,water,late August,R1,0,adult,NA,1,Ev,27,365,26.571110503384425,NA,1,0.365
D2,10,EVAR2,20180829,20190218,NA,density,water,late August,R2,0,adult,NA,0,Ev,89,1258,91.57933428289756,NA,1,1.258
D2,10,EVA,20180829,20190218,NA,density,water,late August,A,1,adult,NA,0,Ev,49,428,31.1573569738316,NA,1,0.428
D2,10,EVAR3,20180829,20190218,NA,density,water,late August,R3,0,adult,NA,0,Ev,55,623,45.352881763310954,NA,1,0.623
D2,10,EVAR6,20180829,20190218,NA,density,water,late August,R6,0,adult,NA,0,Ev,26,161,11.720407646698337,NA,1,0.161
D2,10,EV3,20180829,20190218,NA,density,water,late August,3,1,seedling,NA,0,Ev,19,94,6.842970924159277,NA,1,0.094
D2,10,EVAR4,20180829,20190218,NA,density,water,late August,R4,0,adult,NA,0,Ev,82,808,58.8204309225606,NA,1,0.808
D2,10,EVAS2,20180829,20190218,NA,density,water,late August,S2,0,adult,NA,0,Ev,36,329,23.950398234557472,NA,1,0.329
D2,3,EV1,20180829,20190218,NA,density,fungicide,late August,1,1,seedling,NA,0,Ev,20,70,5.095829411607973,NA,1,0.07
D2,3,EVA,20180829,20190218,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,56,594,43.24175243564479,NA,1,0.594
D2,6,EVR2,20180829,20190218,NA,density,water,late August,R2,0,seedling,NA,1,Ev,6,32,2.329522016735073,NA,2,0.032
D2,6,EV2,20180829,20190218,NA,density,water,late August,2,1,seedling,NA,1,Ev,18,103,7.498148991366016,NA,2,0.103
D2,6,EVA,20180829,20190218,NA,density,water,late August,A,1,adult,NA,0,Ev,24,306,22.276054285029137,NA,1,0.306
D2,6,EVR5,20180829,20190218,NA,density,water,late August,R5,0,seedling,NA,0,Ev,21,178,12.957966218088844,NA,1,0.178
D2,6,EVR6,20180829,20190218,NA,density,water,late August,R6,0,seedling,NA,0,Ev,15,90,6.551780672067393,NA,1,0.09
D2,6,EVR2,20180829,20190218,NA,density,water,late August,R2,0,seedling,NA,1,Ev,19,264,19.218556638064353,NA,2,0.264
D2,6,EVR4,20180829,20190218,NA,density,water,late August,R4,0,seedling,NA,0,Ev,19,117,8.517314873687612,NA,1,0.117
D2,6,EV2,20180829,20190218,NA,density,water,late August,2,1,seedling,NA,1,Ev,8,68,4.950234285562031,NA,2,0.068
D2,9,EVAR4,20180829,20190218,NA,density,water,late August,R4,0,adult,20190312,0,Ev,105,1394,82,344,1,1.394
D2,9,EVAR3,20180829,20190218,NA,density,water,late August,R3,0,adult,NA,0,Ev,4,27,1.965534201620218,NA,1,0.027
D2,9,EV3,20180829,20190218,NA,density,water,late August,3,1,seedling,NA,0,Ev,10,58,4.22225865533232,NA,1,0.058
D2,9,EV2,20180829,20190218,NA,density,water,late August,2,1,seedling,NA,0,Ev,23,234,17.034629747375224,NA,1,0.234
D2,9,EVA,20180829,20190218,NA,density,water,late August,A,1,adult,NA,0,Ev,56,853,62.09632125859429,NA,1,0.853
D2,9,EVAR2,20180829,20190218,NA,density,water,late August,R2,0,adult,NA,0,Ev,115,1450,105.55646638330799,NA,1,1.45
D2,6,EVR8,20180829,20190219,NA,density,fungicide,late August,R8,0,seedling,NA,0,Ev,34,242,17.61701025155899,NA,1,0.242
D2,6,EVA,20180829,20190219,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,20,131,9.536480756009206,NA,1,0.131
D2,6,EVR6,20180829,20190219,NA,density,fungicide,late August,R6,0,seedling,NA,0,Ev,19,200,14.559512604594207,NA,1,0.2
D2,6,EVR7,20180829,20190219,NA,density,fungicide,late August,R7,0,seedling,NA,0,Ev,16,93,6.770173361136306,NA,1,0.093
D2,6,EVR1,20180829,20190219,NA,density,fungicide,late August,R1,0,seedling,NA,0,Ev,12,176,12.812371092042902,NA,1,0.176
D2,1,EV1,20180829,20190219,NA,density,water,late August,1,1,seedling,NA,0,Ev,10,21,1.5287488234823918,NA,1,0.021
D2,1,EVA,20180829,20190219,NA,density,water,late August,A,1,adult,NA,0,Ev,70,512,37.27235226776117,NA,1,0.512
D2,9,EVA,20180829,20190219,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,9,102,7.425351428343045,NA,1,0.102
D2,9,EVAR3,20180829,20190219,NA,density,fungicide,late August,R3,0,adult,NA,0,Ev,52,535,38.94669621728951,NA,1,0.535
D2,9,EVAR4,20180829,20190219,NA,density,fungicide,late August,R4,0,adult,NA,0,Ev,41,383,27.881466637797907,NA,1,0.383
D2,9,EVAR1,20180829,20190219,NA,density,fungicide,late August,R1,0,adult,NA,0,Ev,210,1825,132.85555251692213,NA,1,1.825
D2,8,EVAR2,20180829,20190219,NA,density,fungicide,late August,R2,0,adult,20190311,0,Ev,162,1674,68,231,1,1.674
D2,8,EV2,20180829,20190219,NA,density,fungicide,late August,2,1,seedling,NA,0,Ev,2,10,0.7279756302297103,NA,1,0.01
D2,8,EV3,20180829,20190219,NA,density,fungicide,late August,3,1,seedling,NA,0,Ev,7,25,1.819939075574276,NA,1,0.025
D2,8,EVA,20180829,20190219,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,43,544,39.60187428449625,NA,1,0.544
D2,10,EVAR1,20180829,20190219,NA,density,fungicide,late August,R1,0,adult,NA,0,Ev,28,299,21.76647134386834,NA,1,0.299
D2,10,EVAR4,20180829,20190219,NA,density,fungicide,late August,R4,0,adult,NA,0,Ev,35,427,31.08455941080863,NA,1,0.427
D2,10,EVAR5,20180829,20190219,NA,density,fungicide,late August,R5,0,adult,NA,0,Ev,20,316,23.004029915258847,NA,1,0.316
D2,10,EVAR3,20180829,20190219,NA,density,fungicide,late August,R3,0,adult,NA,0,Ev,111,1311,95.43760512311502,NA,1,1.311
D2,10,EVA,20180829,20190219,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,45,516,37.56354251985305,NA,1,0.516
D2,10,EVAR6,20180829,20190219,NA,density,fungicide,late August,R6,0,adult,NA,0,Ev,36,314,22.858434789212904,NA,1,0.314
D2,10,EVAS1,20180829,20190219,NA,density,fungicide,late August,S1,0,adult,NA,0,Ev,11,128,9.318088066940293,NA,1,0.128
D4,6,EV3,20180829,20190219,NA,density,fungicide,late August,3,1,seedling,NA,0,Ev,9,50,3.639878151148552,NA,1,0.05
D4,6,EVA,20180829,20190219,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,88,1141,83.06201940920995,NA,1,1.141
D4,8,EVAS1,20180828,20190219,NA,density,water,late August,S1,0,adult,NA,0,Ev,72,924,67.26494823322524,NA,1,0.924
D4,8,EVAR1,20180828,20190219,NA,density,water,late August,R1,0,adult,NA,0,Ev,119,1036,75.418275291798,NA,1,1.036
D4,8,EV1,20180828,20190219,NA,density,water,late August,1,1,seedling,NA,0,Ev,2,14,1.0191658823215946,NA,1,0.014
D4,8,EVA,20180828,20190219,NA,density,water,late August,A,1,adult,NA,0,Ev,213,1836,133.65632571017483,NA,1,1.836
D4,9,EVAR2,20180828,20180220,NA,density,fungicide,late August,R2,0,adult,NA,0,Ev,45,434,31.594142351969428,NA,1,0.434
D4,9,EVAR3,20180828,20180220,NA,density,fungicide,late August,R3,0,adult,NA,0,Ev,69,938,68.28411411554683,NA,1,0.938
D4,9,EVAR1,20180828,20180220,NA,density,fungicide,late August,R1,0,adult,NA,0,Ev,73,782,56.92769428396335,NA,1,0.782
D4,9,EVAR4,20180828,20180220,NA,density,fungicide,late August,R4,0,adult,NA,0,Ev,21,342,24.896766553856096,NA,1,0.342
D4,9,EVA,20180828,20180220,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,177,2789,203.03240327106622,NA,1,2.789
D4,9,EVAR2,20180828,20180220,NA,density,water,late August,R2,0,adult,NA,0,Ev,113,1620,117.93205209721309,NA,1,1.62
D4,9,EV2,20180828,20180220,NA,density,water,late August,2,1,seedling,NA,0,Ev,22,198,14.413917478548266,NA,1,0.198
D4,9,EVA,20180828,20180220,NA,density,water,late August,A,1,adult,NA,0,Ev,88,1137,82.77082915711807,NA,1,1.137
D4,9,EVAR3,20180828,20180220,NA,density,water,late August,R3,0,adult,NA,0,Ev,270,3403,247.73010696717043,NA,1,3.403
D4,9,EVAR1,20180828,20180220,NA,density,water,late August,R1,0,adult,20190321,0,Ev,178,2596,207,801,1,2.596
D4,9,EVAR4,20180828,20180220,NA,density,water,late August,R4,0,adult,NA,0,Ev,105,1377,100.24224428263112,NA,1,1.377
D4,4,EVA,20180828,20180220,NA,density,water,late August,A,1,adult,NA,0,Ev,18,63,4.5862464704471755,NA,1,0.063
D4,3,EV1,20180828,20180220,NA,density,water,late August,1,1,seedling,NA,0,Ev,7,36,2.620712268826957,NA,1,0.036
D4,4,EVA,20180828,20180220,NA,density,fungicide,late August,A,1,adult,NA,1,Ev,106,1349,98.20391251798792,NA,2,1.349
D4,5,EVA,20180828,20180220,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,68,875,63.697867645099656,NA,1,0.875
D4,10,EVAR3,20180828,20180220,NA,density,water,late August,R3,0,adult,NA,0,Ev,225,2642,192.33116150668945,NA,1,2.642
D4,10,EV2,20180828,20180220,NA,density,water,late August,2,1,seedling,NA,0,Ev,9,63,4.5862464704471755,NA,1,0.063
D4,10,EVAR8,20180828,20180220,"initially labelled ""Ev8""",density,water,late August,R8,0,adult,NA,0,Ev,11,63,4.5862464704471755,NA,1,0.063
D4,10,EVAR7,20180828,20190220,NA,density,water,late August,R7,0,adult,NA,0,Ev,73,812,59.111621174652484,NA,1,0.812
D4,10,EV1,20180828,20190220,NA,density,water,late August,1,1,seedling,20190313,0,Ev,33,206,12,44,1,0.206
D4,10,EVAR6,20180827,20190220,NA,density,water,late August,R6,0,adult,NA,0,Ev,22,258,18.781771259926526,NA,1,0.258
D4,10,EVAR5,20180827,20190220,NA,density,water,late August,R5,0,adult,NA,0,Ev,24,378,27.51747882268305,NA,1,0.378
D4,10,EV3,20180828,20190220,NA,density,water,late August,3,1,seedling,NA,0,Ev,26,88,6.406185546021451,NA,1,0.088
D4,10,EVA,20180828,20190220,NA,density,water,late August,A,1,adult,NA,0,Ev,86,795,57.874062603261976,NA,1,0.795
D4,10,EVAR2,20180828,20190220,NA,density,water,late August,R2,0,adult,NA,0,Ev,160,2417,175.95170982652098,NA,1,2.417
D4,10,EVAR1,20180828,20190220,NA,density,water,late August,R1,0,adult,NA,0,Ev,176,2238,162.92094604540918,NA,1,2.238
D4,7,EV3,20180829,20190221,NA,density,fungicide,late August,3,1,seedling,NA,0,Ev,8,52,3.7854732771944937,NA,1,0.052
D4,7,EVR2,20180829,20190221,NA,density,fungicide,late August,R2,0,seedling,NA,0,Ev,24,418,30.42938134360189,NA,1,0.418
D4,6,EVA,20180829,20190221,NA,density,water,late August,A,1,adult,20190320,0,Ev,135,2081,189,696,1,2.081
D4,7,EV1,20180829,20190221,NA,density,water,late August,1,1,seedling,NA,1,Ev,22,255,18.563378570857616,NA,1,0.255
D4,6,EV3,20180829,20190221,NA,density,water,late August,3,1,seedling,NA,0,Ev,19,231,16.81623705830631,NA,1,0.231
D4,4,EVA,20180829,20190221,NA,density,fungicide,late August,A,1,adult,NA,1,Ev,26,440,32.03092773010726,NA,2,0.44
D4,7,EVA,20180829,20190221,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,20,232,16.88903462132928,NA,1,0.232
D4,5,EVA,20180829,20190221,NA,density,water,late August,A,1,adult,NA,0,Ev,139,1311,95.43760512311502,NA,1,1.311
D4,7,EVA,20180829,20190221,NA,density,water,late August,A,1,adult,NA,0,Ev,279,5123,372.94191536668063,NA,1,5.123
D4,7,EV3,20180829,20190221,NA,density,water,late August,3,1,seedling,NA,1,Ev,16,108,7.862136806480872,NA,1,0.108
D2,4,EVA,20180829,20190221,NA,density,water,late August,A,1,adult,NA,0,Ev,120,1009,73.45274109017777,NA,1,1.009
D2,4,EV2,20180829,20190221,NA,density,water,late August,2,1,seedling,NA,1,Ev,15,107,7.7893392434579,NA,1,0.107
D2,7,EV3,20180829,20190221,NA,density,fungicide,late August,3,1,seedling,NA,0,Ev,20,177,12.885168655065872,NA,1,0.177
D2,7,EV1,20180829,20190221,NA,density,fungicide,late August,1,1,seedling,NA,0,Ev,41,311,22.64004210014399,NA,1,0.311
D2,7,EVR1,20180829,20190221,NA,density,fungicide,late August,R1,0,seedling,NA,0,Ev,35,248,18.053795629696815,NA,1,0.248
D2,7,EVR9,20180829,20190221,NA,density,fungicide,late August,R9,0,seedling,NA,0,Ev,16,174,12.666775965996958,NA,1,0.174
D2,7,EVA,20180829,20190221,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,29,315,22.931232352235877,NA,1,0.315
D2,7,EVR8,20180829,20190221,NA,density,fungicide,late August,R8,0,seedling,NA,0,Ev,14,95,6.915768487182248,NA,1,0.095
D2,7,EVR6,20180829,20190221,NA,density,fungicide,late August,R6,0,seedling,NA,0,Ev,15,149,10.846836890422683,NA,1,0.149
D2,7,EVR7,20180829,20190221,NA,density,fungicide,late August,R7,0,seedling,NA,0,Ev,18,166,12.084395461813193,NA,1,0.166
D2,7,EVR3,20180829,20190221,NA,density,fungicide,late August,R3,0,seedling,NA,0,Ev,12,48,3.4942830251026096,NA,1,0.048
D2,7,EV2,20180829,20190221,NA,density,fungicide,late August,2,1,seedling,NA,0,Ev,36,330,24.023195797580442,NA,1,0.33
D2,7,EVR4,20180829,20190221,NA,density,fungicide,late August,R4,0,seedling,NA,0,Ev,11,65,4.731841596493117,NA,1,0.065
D2,7,EVR10,20180829,20190221,NA,density,fungicide,late August,R10,0,seedling,NA,0,Ev,8,63,4.5862464704471755,NA,1,0.063
D2,7,EVR2,20180829,20190221,NA,density,fungicide,late August,R2,0,seedling,NA,0,Ev,24,200,14.559512604594207,NA,1,0.2
D2,2,EVA,20180829,20190221,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,15,140,10.191658823215946,NA,1,0.14
D2,3,EVA,20180829,20190221,NA,density,water,late August,A,1,adult,NA,0,Ev,106,1292,94.05445142567858,NA,1,1.292
D2,5,EVA,20180829,20190221,NA,density,water,late August,A,1,adult,NA,0,Ev,34,314,22.858434789212904,NA,1,0.314
D2,4,EVA,20180829,20190221,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,35,265,19.291354201087326,NA,1,0.265
D2,5,EVA,20180829,20190221,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,14,168,12.229990587859135,NA,1,0.168
D3,10,EVAR5,20180827,20190221,NA,density,water,late August,R5,0,adult,NA,0,Ev,104,1504,109.48753478654844,NA,1,1.504
D3,10,EVAR7,20180827,20190221,NA,density,water,late August,R7,0,adult,NA,0,Ev,48,424,30.866166721739717,NA,1,0.424
D3,10,EVAR8,20180828,20190221,NA,density,water,late August,R8,0,adult,NA,0,Ev,53,372,27.080693444545226,NA,1,0.372
D3,10,EVAR2,20180828,20190221,NA,density,water,late August,R2,0,adult,NA,0,Ev,52,688,50.084723359804066,NA,1,0.688
D3,10,EVA,20180828,20190221,NA,density,water,late August,A,1,adult,NA,0,Ev,56,1009,73.45274109017777,NA,1,1.009
D3,10,EVAR3,20180828,20190221,NA,density,water,late August,R3,0,adult,NA,0,Ev,115,2003,145.813518735011,NA,1,2.003
D3,10,EVAR1,20180828,20190222,NA,density,water,late August,R1,0,adult,NA,0,Ev,207,2945,214.3888231026497,NA,1,2.945
D3,10,EV2,20180828,20190222,NA,density,water,late August,2,1,seedling,NA,0,Ev,11,46,3.3486878990566673,NA,1,0.046
D3,10,EV3,20180827,20190222,NA,density,water,late August,3,1,seedling,NA,0,Ev,8,19,1.3831536974364496,NA,1,0.019
D3,10,EVAR4,20180828,20190222,NA,density,water,late August,R4,0,adult,NA,0,Ev,13,45,3.2758903360336964,NA,1,0.045
D3,6,EVA,20180828,20190222,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,112,1491,108.54116646724982,NA,1,1.491
D3,6,EVA,20180828,20190222,NA,density,water,late August,A,1,adult,NA,0,Ev,91,908,66.1001872248577,NA,1,0.908
D3,5,EVA,20180828,20190222,NA,density,water,late August,A,1,adult,NA,0,Ev,112,1230,89.54100251825437,NA,1,1.23
D3,3,EVA,20180828,20190225,NA,density,water,late August,A,1,adult,NA,0,Ev,53,545,39.674671847519214,NA,1,0.545
D3,2,EVA,20180828,20190225,NA,density,water,late August,A,1,adult,NA,0,Ev,26,209,15.214690671800945,NA,1,0.209
D3,8,EVAR1,20180828,20190225,NA,density,fungicide,late August,R1,0,adult,NA,0,Ev,17,196,14.268322352502324,NA,1,0.196
D3,1,EVA,20180828,20190225,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,65,845,61.51394075441052,NA,1,0.845
D3,4,EVA,20180828,20190225,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,57,667,48.555974536321685,NA,1,0.667
D3,2,EVA,20180828,20190225,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,119,1188,86.48350487128958,NA,1,1.188
D3,3,EVA,20180828,20190225,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,105,1306,95.07361730800017,NA,1,1.306
D3,1,EVA,20180828,20190225,NA,density,water,late August,A,1,adult,NA,0,Ev,40,372,27.080693444545226,NA,1,0.372
D3,5,EVA,20180828,20190225,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,82,929,67.6289360483401,NA,1,0.929
D1,10,EVAR5,20180827,20190225,NA,density,water,late August,R5,0,adult,NA,0,Ev,10,126,9.172492940894351,NA,1,0.126
D1,10,EVAR1,20180827,20190225,NA,density,water,late August,R1,0,adult,NA,0,Ev,46,538,39.16508890635842,NA,1,0.538
D1,10,EVAR7,20180827,20190225,NA,density,water,late August,R7,0,adult,NA,0,Ev,23,237,17.253022436444134,NA,1,0.237
D1,10,EVAR3,20180827,20190225,NA,density,water,late August,R3,0,adult,NA,0,Ev,17,167,12.157193024836163,NA,1,0.167
D1,10,EVAR2,20180827,20190225,NA,density,water,late August,R2,0,adult,NA,0,Ev,56,508,36.981162015669284,NA,1,0.508
D1,10,EVA,20180827,20190225,NA,density,water,late August,A,1,adult,NA,0,Ev,29,202,14.70510773064015,NA,1,0.202
D1,2,EVA,20180827,20190225,NA,density,water,late August,A,1,adult,NA,0,Ev,81,702,51.10388924212566,NA,1,0.702
D1,2,EVA,20180827,20190225,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,21,206,14.996297982732033,NA,1,0.206
D1,7,EVR3,20180827,20190225,"initially labelled 9W, but in 7F bag, no EvR3 in 9W; relabelled 7F",density,fungicide,late August,R3,0,seedling,NA,0,Ev,16,161,11.720407646698337,NA,1,0.161
D1,7,EV3,20180827,20190225,NA,density,fungicide,late August,3,1,seedling,NA,0,Ev,10,61,4.440651344401233,NA,1,0.061
D1,7,EVA,20180827,20190225,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,39,494,35.96199613334769,NA,1,0.494
D1,9,EVA,20180827,20190225,NA,density,fungicide,late August,A,1,adult,NA,0,Ev,50,374,27.226288570591166,NA,1,0.374
D1,9,EVAR1,20180827,20190225,NA,density,fungicide,late August,R1,0,adult,NA,0,Ev,40,462,33.63247411661262,NA,1,0.462
D1,9,EV1,20180827,20190225,NA,density,fungicide,late August,1,1,seedling,NA,0,Ev,15,43,3.130295209987754,NA,1,0.043
D1,9,EVAR4,20180827,20190225,NA,density,fungicide,late August,R4,0,adult,NA,0,Ev,75,1026,74.69029966156828,NA,1,1.026
D1,9,EVAR2,20180827,20190225,NA,density,fungicide,late August,R2,0,adult,NA,0,Ev,181,2411,175.51492444838317,NA,1,2.411
D1,9,EVA,20180827,20190226,NA,density,water,late August,A,1,adult,NA,0,Ev,48,590,42.950562183552904,NA,1,0.59
D1,9,EV2,20180827,20190226,NA,density,water,late August,2,1,seedling,NA,0,Ev,24,148,10.774039327399713,NA,1,0.148
