site,plot,treatment,sp,ID,seeds,age,background,density_level,density,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D4,8,water,Ev,A,242.5023428556203,adult,Ev adult,low,3,0,243.5023428556203,5.495126564060014,Ev adult,a,a,D48w
D4,9,fungicide,Ev,2,11.647610083675364,seedling,Ev adult,medium,5,1,12.647610083675364,2.5374682711330574,Ev seedling,s,a,D49f
D4,9,fungicide,Ev,A,182.8674783137032,adult,Ev adult,medium,5,1,183.8674783137032,5.214215271565278,Ev adult,a,a,D49f
D4,9,water,Ev,1,13.3219540332037,seedling,Ev adult,medium,5,0,14.3219540332037,2.661793607056046,Ev seedling,s,a,D49w
D4,9,water,Ev,2,24.896766553856093,seedling,Ev adult,medium,5,0,25.896766553856093,3.254118117431436,Ev seedling,s,a,D49w
D4,9,water,Ev,3,0.7279756302297103,seedling,Ev adult,medium,5,0,1.7279756302297105,0.5469505674060924,Ev seedling,s,a,D49w
D4,9,water,Ev,A,10.264456386238916,adult,Ev adult,medium,5,0,11.264456386238916,2.4216523158391072,Ev adult,a,a,D49w
D4,10,fungicide,Ev,2,10.846836890422685,seedling,Ev adult,high,9,1,11.846836890422685,2.4720609028709783,Ev seedling,s,a,D410f
D4,10,fungicide,Ev,3,26.67837386478718,seedling,Ev adult,high,9,1,27.67837386478718,3.3206513813643346,Ev seedling,s,a,D410f
D4,10,fungicide,Ev,A,35.52521075520986,adult,Ev adult,high,9,1,36.52521075520986,3.598002727783288,Ev adult,a,a,D410f
D4,10,water,Ev,1,8.226124621595726,seedling,Ev adult,high,9,0,9.226124621595726,2.222039092696225,Ev seedling,s,a,D410w
D4,10,water,Ev,2,6.842970924159277,seedling,Ev adult,high,9,0,7.842970924159277,2.059617706989089,Ev seedling,s,a,D410w
D4,10,water,Ev,3,3.183926890689131,seedling,Ev adult,high,9,0,4.183926890689131,1.4312502530652949,Ev seedling,s,a,D410w
D4,10,water,Ev,A,21.548078654799426,adult,Ev adult,high,9,0,22.548078654799426,3.115649858540343,Ev adult,a,a,D410w
D4,2,water,Ev,2,0,seedling,Mv,low,7,0,1,0,Ev seedling,s,m,D42w
D4,2,water,Ev,3,0,seedling,Mv,low,7,0,1,0,Ev seedling,s,m,D42w
D1,3,water,Ev,2,0,seedling,Mv,medium,19,0,1,0,Ev seedling,s,m,D13w
D2,3,water,Ev,1,0,seedling,Mv,medium,19,0,1,0,Ev seedling,s,m,D23w
D4,3,water,Ev,2,0,seedling,Mv,medium,19,0,1,0,Ev seedling,s,m,D43w
D4,3,water,Ev,3,0,seedling,Mv,medium,19,0,1,0,Ev seedling,s,m,D43w
D1,4,water,Ev,1,0,seedling,Mv,high,67,0,1,0,Ev seedling,s,m,D14w
D1,4,water,Ev,2,0,seedling,Mv,high,67,0,1,0,Ev seedling,s,m,D14w
D1,4,water,Ev,3,0,seedling,Mv,high,67,0,1,0,Ev seedling,s,m,D14w
D3,4,water,Ev,3,0,seedling,Mv,high,67,0,1,0,Ev seedling,s,m,D34w
D4,4,water,Ev,2,0,seedling,Mv,high,67,0,1,0,Ev seedling,s,m,D44w
D4,4,water,Ev,3,0,seedling,Mv,high,67,0,1,0,Ev seedling,s,m,D44w
D4,4,water,Ev,A,0,adult,Mv,high,67,0,1,0,Ev adult,a,m,D44w
D1,5,water,Ev,2,0,seedling,Ev seedling,low,7,0,1,0,Ev seedling,s,s,D15w
D1,5,water,Ev,3,0,seedling,Ev seedling,low,7,0,1,0,Ev seedling,s,s,D15w
D4,5,water,Ev,3,0,seedling,Ev seedling,low,7,0,1,0,Ev seedling,s,s,D45w
D1,6,water,Ev,2,0,seedling,Ev seedling,medium,11,0,1,0,Ev seedling,s,s,D16w
D1,6,water,Ev,3,0,seedling,Ev seedling,medium,11,0,1,0,Ev seedling,s,s,D16w
D4,6,water,Ev,1,0,seedling,Ev seedling,medium,11,0,1,0,Ev seedling,s,s,D46w
D4,6,water,Ev,2,0,seedling,Ev seedling,medium,11,0,1,0,Ev seedling,s,s,D46w
D4,6,water,Ev,3,0,seedling,Ev seedling,medium,11,0,1,0,Ev seedling,s,s,D46w
D1,7,water,Ev,3,0,seedling,Ev seedling,high,19,0,1,0,Ev seedling,s,s,D17w
D1,8,water,Ev,2,0,seedling,Ev adult,low,3,0,1,0,Ev seedling,s,a,D18w
D1,8,water,Ev,3,0,seedling,Ev adult,low,3,0,1,0,Ev seedling,s,a,D18w
D4,8,water,Ev,3,0,seedling,Ev adult,low,3,0,1,0,Ev seedling,s,a,D48w
D1,9,water,Ev,1,0,seedling,Ev adult,medium,5,0,1,0,Ev seedling,s,a,D19w
D1,9,water,Ev,2,0,seedling,Ev adult,medium,5,0,1,0,Ev seedling,s,a,D19w
D1,9,water,Ev,3,0,seedling,Ev adult,medium,5,0,1,0,Ev seedling,s,a,D19w
D1,9,water,Ev,A,0,adult,Ev adult,medium,5,0,1,0,Ev adult,a,a,D19w
D2,9,water,Ev,1,0,seedling,Ev adult,medium,5,0,1,0,Ev seedling,s,a,D29w
D2,9,water,Ev,2,0,seedling,Ev adult,medium,5,0,1,0,Ev seedling,s,a,D29w
D3,9,water,Ev,1,0,seedling,Ev adult,medium,5,0,1,0,Ev seedling,s,a,D39w
D3,9,water,Ev,3,0,seedling,Ev adult,medium,5,0,1,0,Ev seedling,s,a,D39w
D1,10,water,Ev,3,0,seedling,Ev adult,high,9,0,1,0,Ev seedling,s,a,D110w
D1,2,fungicide,Ev,A,0,adult,Mv,low,7,1,1,0,Ev adult,a,m,D12f
D2,2,fungicide,Ev,1,0,seedling,Mv,low,7,1,1,0,Ev seedling,s,m,D22f
D2,2,fungicide,Ev,2,0,seedling,Mv,low,7,1,1,0,Ev seedling,s,m,D22f
D2,2,fungicide,Ev,3,0,seedling,Mv,low,7,1,1,0,Ev seedling,s,m,D22f
D4,2,fungicide,Ev,2,0,seedling,Mv,low,7,1,1,0,Ev seedling,s,m,D42f
D1,3,fungicide,Ev,1,0,seedling,Mv,medium,19,1,1,0,Ev seedling,s,m,D13f
D1,3,fungicide,Ev,2,0,seedling,Mv,medium,19,1,1,0,Ev seedling,s,m,D13f
D1,3,fungicide,Ev,3,0,seedling,Mv,medium,19,1,1,0,Ev seedling,s,m,D13f
D2,3,fungicide,Ev,A,0,adult,Mv,medium,19,1,1,0,Ev adult,a,m,D23f
D1,4,fungicide,Ev,1,0,seedling,Mv,high,67,1,1,0,Ev seedling,s,m,D14f
D1,4,fungicide,Ev,3,0,seedling,Mv,high,67,1,1,0,Ev seedling,s,m,D14f
D2,4,fungicide,Ev,1,0,seedling,Mv,high,67,1,1,0,Ev seedling,s,m,D24f
D2,4,fungicide,Ev,3,0,seedling,Mv,high,67,1,1,0,Ev seedling,s,m,D24f
D4,4,fungicide,Ev,1,0,seedling,Mv,high,67,1,1,0,Ev seedling,s,m,D44f
D4,4,fungicide,Ev,2,0,seedling,Mv,high,67,1,1,0,Ev seedling,s,m,D44f
D4,4,fungicide,Ev,3,0,seedling,Mv,high,67,1,1,0,Ev seedling,s,m,D44f
D1,5,fungicide,Ev,A,0,adult,Ev seedling,low,7,1,1,0,Ev adult,a,s,D15f
D2,5,fungicide,Ev,1,0,seedling,Ev seedling,low,7,1,1,0,Ev seedling,s,s,D25f
D2,5,fungicide,Ev,2,0,seedling,Ev seedling,low,7,1,1,0,Ev seedling,s,s,D25f
D2,5,fungicide,Ev,3,0,seedling,Ev seedling,low,7,1,1,0,Ev seedling,s,s,D25f
D4,5,fungicide,Ev,3,0,seedling,Ev seedling,low,7,1,1,0,Ev seedling,s,s,D45f
D1,6,fungicide,Ev,1,0,seedling,Ev seedling,medium,11,1,1,0,Ev seedling,s,s,D16f
D2,6,fungicide,Ev,1,0,seedling,Ev seedling,medium,11,1,1,0,Ev seedling,s,s,D26f
D2,6,fungicide,Ev,2,0,seedling,Ev seedling,medium,11,1,1,0,Ev seedling,s,s,D26f
D2,6,fungicide,Ev,3,0,seedling,Ev seedling,medium,11,1,1,0,Ev seedling,s,s,D26f
D3,6,fungicide,Ev,1,0,seedling,Ev seedling,medium,11,1,1,0,Ev seedling,s,s,D36f
D3,6,fungicide,Ev,3,0,seedling,Ev seedling,medium,11,1,1,0,Ev seedling,s,s,D36f
D4,6,fungicide,Ev,1,0,seedling,Ev seedling,medium,11,1,1,0,Ev seedling,s,s,D46f
D1,7,fungicide,Ev,1,0,seedling,Ev seedling,high,19,1,1,0,Ev seedling,s,s,D17f
D1,7,fungicide,Ev,2,0,seedling,Ev seedling,high,19,1,1,0,Ev seedling,s,s,D17f
D1,7,fungicide,Ev,3,0,seedling,Ev seedling,high,19,1,1,0,Ev seedling,s,s,D17f
D2,7,fungicide,Ev,2,0,seedling,Ev seedling,high,19,1,1,0,Ev seedling,s,s,D27f
D1,8,fungicide,Ev,2,0,seedling,Ev adult,low,3,1,1,0,Ev seedling,s,a,D18f
D1,8,fungicide,Ev,A,0,adult,Ev adult,low,3,1,1,0,Ev adult,a,a,D18f
D1,9,fungicide,Ev,2,0,seedling,Ev adult,medium,5,1,1,0,Ev seedling,s,a,D19f
D2,9,fungicide,Ev,1,0,seedling,Ev adult,medium,5,1,1,0,Ev seedling,s,a,D29f
D2,9,fungicide,Ev,2,0,seedling,Ev adult,medium,5,1,1,0,Ev seedling,s,a,D29f
D2,9,fungicide,Ev,3,0,seedling,Ev adult,medium,5,1,1,0,Ev seedling,s,a,D29f
D4,9,fungicide,Ev,1,0,seedling,Ev adult,medium,5,1,1,0,Ev seedling,s,a,D49f
D4,9,fungicide,Ev,3,0,seedling,Ev adult,medium,5,1,1,0,Ev seedling,s,a,D49f
D2,10,fungicide,Ev,2,0,seedling,Ev adult,high,9,1,1,0,Ev seedling,s,a,D210f
D4,10,fungicide,Ev,1,0,seedling,Ev adult,high,9,1,1,0,Ev seedling,s,a,D410f
D1,2,fungicide,Mv,1,964.0887806415398,seedling,Mv,low,7,1,965.0887806415398,6.872220097771993,Mv,m,m,D12f
D1,2,fungicide,Mv,2,403.9218025985961,seedling,Mv,low,7,1,404.9218025985961,6.00369396846073,Mv,m,m,D12f
D1,2,fungicide,Mv,3,1766.4917171456375,seedling,Mv,low,7,1,1767.4917171456375,7.477316711562088,Mv,m,m,D12f
D1,3,fungicide,Mv,1,587.3773005875763,seedling,Mv,medium,19,1,588.3773005875763,6.3773684097839,Mv,m,m,D13f
D1,3,fungicide,Mv,2,1026.4167236763349,seedling,Mv,medium,19,1,1027.4167236763349,6.934802895568914,Mv,m,m,D13f
D1,3,fungicide,Mv,3,223.95355231900533,seedling,Mv,medium,19,1,224.95355231900533,5.415893946756206,Mv,m,m,D13f
D1,4,fungicide,Mv,1,284.2029572111179,seedling,Mv,high,67,1,285.2029572111179,5.653201057389322,Mv,m,m,D14f
D1,4,fungicide,Mv,2,315.60796611193115,seedling,Mv,high,67,1,316.60796611193115,5.757664308570454,Mv,m,m,D14f
D1,4,fungicide,Mv,3,272.9011068781711,seedling,Mv,high,67,1,273.9011068781711,5.612767117437103,Mv,m,m,D14f
D1,5,fungicide,Mv,1,1173.7068478927015,seedling,Ev seedling,low,7,1,1174.7068478927015,7.068773904295016,Mv,m,s,D15f
D1,5,fungicide,Mv,2,989.9473191792416,seedling,Ev seedling,low,7,1,990.9473191792416,6.89866137366294,Mv,m,s,D15f
D1,5,fungicide,Mv,3,803.8452328080052,seedling,Ev seedling,low,7,1,804.8452328080052,6.690650001553384,Mv,m,s,D15f
D1,6,fungicide,Mv,1,490.3444186734161,seedling,Ev seedling,medium,11,1,491.3444186734161,6.197145345577168,Mv,m,s,D16f
D1,6,fungicide,Mv,2,750.2245130887318,seedling,Ev seedling,medium,11,1,751.2245130887318,6.621704559268902,Mv,m,s,D16f
D1,6,fungicide,Mv,3,803.3179018926855,seedling,Ev seedling,medium,11,1,804.3179018926855,6.689994591392879,Mv,m,s,D16f
D1,7,fungicide,Mv,1,1819.525811299324,seedling,Ev seedling,high,19,1,1820.525811299324,7.506880645652482,Mv,m,s,D17f
D1,7,fungicide,Mv,2,1006.5151093816776,seedling,Ev seedling,high,19,1,1007.5151093816776,6.915242290613277,Mv,m,s,D17f
D1,7,fungicide,Mv,3,636.8704533532404,seedling,Ev seedling,high,19,1,637.8704533532404,6.45813521155664,Mv,m,s,D17f
D1,8,fungicide,Mv,1,2696.617551785445,seedling,Ev adult,low,3,1,2697.617551785445,7.9001242742311515,Mv,m,a,D18f
D1,8,fungicide,Mv,2,2407.462983975102,seedling,Ev adult,low,3,1,2408.462983975102,7.786744057040029,Mv,m,a,D18f
D1,8,fungicide,Mv,3,1978.9749801531473,seedling,Ev adult,low,3,1,1979.9749801531473,7.590839487322453,Mv,m,a,D18f
D1,9,fungicide,Mv,1,2792.949147488437,seedling,Ev adult,medium,5,1,2793.949147488437,7.9352113390386885,Mv,m,a,D19f
D1,9,fungicide,Mv,2,1910.1121048312284,seedling,Ev adult,medium,5,1,1911.1121048312284,7.5554406054350185,Mv,m,a,D19f
D1,9,fungicide,Mv,3,1049.8360991624158,seedling,Ev adult,medium,5,1,1050.8360991624158,6.957341411201521,Mv,m,a,D19f
D1,10,fungicide,Mv,1,5374.53444477045,seedling,Ev adult,high,9,1,5375.53444477045,8.58961327963807,Mv,m,a,D110f
D1,10,fungicide,Mv,2,752.1942836426836,seedling,Ev adult,high,9,1,753.1942836426836,6.624323207326002,Mv,m,a,D110f
D1,10,fungicide,Mv,3,11571.998448187083,seedling,Ev adult,high,9,1,11572.998448187083,9.35642994375899,Mv,m,a,D110f
D1,2,water,Mv,1,1218.570807410675,seedling,Mv,low,7,0,1219.570807410675,7.106254278627784,Mv,m,m,D12w
D1,2,water,Mv,2,2170.266248562689,seedling,Mv,low,7,0,2171.266248562689,7.683065801033445,Mv,m,m,D12w
D1,2,water,Mv,3,1953.075346210006,seedling,Mv,low,7,0,1954.075346210006,7.577672391843961,Mv,m,m,D12w
D1,3,water,Mv,1,368.0863162140208,seedling,Mv,medium,19,0,369.0863162140208,5.911030535964867,Mv,m,m,D13w
D1,3,water,Mv,2,230.09412962526625,seedling,Mv,medium,19,0,231.09412962526625,5.442825115076552,Mv,m,m,D13w
D1,3,water,Mv,3,920.9255392627624,seedling,Mv,medium,19,0,921.9255392627624,6.8264644602766325,Mv,m,m,D13w
D1,4,water,Mv,1,402.1912070956893,seedling,Mv,high,67,0,403.1912070956893,5.999410908720976,Mv,m,m,D14w
D1,4,water,Mv,2,214.407954112507,seedling,Mv,high,67,0,215.407954112507,5.3725336912109105,Mv,m,m,D14w
D1,4,water,Mv,3,358.63689932248406,seedling,Mv,high,67,0,359.63689932248406,5.885094909464692,Mv,m,m,D14w
D1,5,water,Mv,1,354.54637502608347,seedling,Ev seedling,low,7,0,355.54637502608347,5.87365569087911,Mv,m,s,D15w
D1,5,water,Mv,2,541.0029812099663,seedling,Ev seedling,low,7,0,542.0029812099663,6.295271501811911,Mv,m,s,D15w
D1,5,water,Mv,3,188.7483193793267,seedling,Ev seedling,low,7,0,189.7483193793267,5.245698559210569,Mv,m,s,D15w
D1,6,water,Mv,1,2208.2627479368125,seedling,Ev seedling,medium,11,0,2209.2627479368125,7.700414140636898,Mv,m,s,D16w
D1,6,water,Mv,2,721.8995986032345,seedling,Ev seedling,medium,11,0,722.8995986032345,6.583270344747049,Mv,m,s,D16w
D1,6,water,Mv,3,1550.2298180249556,seedling,Ev seedling,medium,11,0,1551.2298180249556,7.346803326297169,Mv,m,s,D16w
D1,7,water,Mv,1,1385.8539783729848,seedling,Ev seedling,high,19,0,1386.8539783729848,7.234793136022083,Mv,m,s,D17w
D1,7,water,Mv,2,1356.9070839309911,seedling,Ev seedling,high,19,0,1357.9070839309911,7.213699884519325,Mv,m,s,D17w
D1,7,water,Mv,3,1670.0294179449213,seedling,Ev seedling,high,19,0,1671.0294179449213,7.421195133434396,Mv,m,s,D17w
D1,8,water,Mv,1,7091.375636171284,seedling,Ev adult,low,3,0,7092.375636171284,8.866775631974644,Mv,m,a,D18w
D1,8,water,Mv,2,3701.65089377676,seedling,Ev adult,low,3,0,3702.65089377676,8.216804299876468,Mv,m,a,D18w
D1,8,water,Mv,3,3864.020476290119,seedling,Ev adult,low,3,0,3865.020476290119,8.259722258883327,Mv,m,a,D18w
D1,9,water,Mv,1,1106.6777453238649,seedling,Ev adult,medium,5,0,1107.6777453238649,7.010020981433517,Mv,m,a,D19w
D1,9,water,Mv,2,690.2271415579954,seedling,Ev adult,medium,5,0,691.2271415579954,6.538468484019246,Mv,m,a,D19w
D1,9,water,Mv,3,859.1372653793426,seedling,Ev adult,medium,5,0,860.1372653793426,6.7570919874173,Mv,m,a,D19w
D1,10,water,Mv,1,5023.799016407898,seedling,Ev adult,high,9,0,5024.799016407898,8.52214073539264,Mv,m,a,D110w
D1,10,water,Mv,2,2004.2128829675448,seedling,Ev adult,high,9,0,2005.2128829675448,7.6035055101480555,Mv,m,a,D110w
D1,10,water,Mv,3,3843.5416901097224,seedling,Ev adult,high,9,0,3844.5416901097224,8.254409678504926,Mv,m,a,D110w
D2,2,fungicide,Mv,1,391.0438885748131,seedling,Mv,low,7,1,392.0438885748131,5.97137379417337,Mv,m,m,D22f
D2,2,fungicide,Mv,2,0,seedling,Mv,low,7,1,1,0,Mv,m,m,D22f
D2,2,fungicide,Mv,3,71.99575591934767,seedling,Mv,low,7,1,72.99575591934767,4.290401301367179,Mv,m,m,D22f
D2,3,fungicide,Mv,1,367.8042774454617,seedling,Mv,medium,19,1,368.8042774454617,5.91026608989463,Mv,m,m,D23f
D2,3,fungicide,Mv,2,359.31330507133043,seedling,Mv,medium,19,1,360.31330507133043,5.886973944830576,Mv,m,m,D23f
D2,3,fungicide,Mv,3,265.7585612198186,seedling,Mv,medium,19,1,266.7585612198186,5.586343984211618,Mv,m,m,D23f
D2,4,fungicide,Mv,1,265.6636761403525,seedling,Mv,high,67,1,266.6636761403525,5.585988224463256,Mv,m,m,D24f
D2,4,fungicide,Mv,2,302.68305162643367,seedling,Mv,high,67,1,303.68305162643367,5.715984564193629,Mv,m,m,D24f
D2,4,fungicide,Mv,3,222.4353790481232,seedling,Mv,high,67,1,223.4353790481232,5.409122240471238,Mv,m,m,D24f
D2,5,fungicide,Mv,1,2024.148935448996,seedling,Ev seedling,low,7,1,2025.148935448996,7.613398525205965,Mv,m,s,D25f
D2,5,fungicide,Mv,2,1427.2107025760122,seedling,Ev seedling,low,7,1,1428.2107025760122,7.264177682838516,Mv,m,s,D25f
D2,5,fungicide,Mv,3,1237.091857188534,seedling,Ev seedling,low,7,1,1238.091857188534,7.121326648544129,Mv,m,s,D25f
D2,6,fungicide,Mv,1,765.736829301036,seedling,Ev seedling,medium,11,1,766.736829301036,6.642143625541366,Mv,m,s,D26f
D2,6,fungicide,Mv,2,515.4963460150715,seedling,Ev seedling,medium,11,1,516.4963460150715,6.247068214023675,Mv,m,s,D26f
D2,6,fungicide,Mv,3,904.040223907192,seedling,Ev seedling,medium,11,1,905.040223907192,6.807979389018508,Mv,m,s,D26f
D2,7,fungicide,Mv,1,193.45039375113885,seedling,Ev seedling,high,19,1,194.45039375113885,5.270177085547707,Mv,m,s,D27f
D2,7,fungicide,Mv,2,146.58466592109096,seedling,Ev seedling,high,19,1,147.58466592109096,4.9944020173459895,Mv,m,s,D27f
D2,7,fungicide,Mv,3,143.1304761670305,seedling,Ev seedling,high,19,1,144.1304761670305,4.970718973822507,Mv,m,s,D27f
D2,8,fungicide,Mv,1,4422.608798171235,seedling,Ev adult,low,3,1,4423.608798171235,8.394711112115774,Mv,m,a,D28f
D2,8,fungicide,Mv,2,1658.3140851827438,seedling,Ev adult,low,3,1,1659.3140851827438,7.414159594262102,Mv,m,a,D28f
D2,8,fungicide,Mv,3,2736.3766084223257,seedling,Ev adult,low,3,1,2737.3766084223257,7.914755298559946,Mv,m,a,D28f
D2,9,fungicide,Mv,1,892.7444786705369,seedling,Ev adult,medium,5,1,893.7444786705369,6.795419916277848,Mv,m,a,D29f
D2,9,fungicide,Mv,2,605.3664346281848,seedling,Ev adult,medium,5,1,606.3664346281848,6.407484480929741,Mv,m,a,D29f
D2,9,fungicide,Mv,3,149.42536124649664,seedling,Ev adult,medium,5,1,150.42536124649664,5.013467022609243,Mv,m,a,D29f
D2,10,fungicide,Mv,1,222.89239731146415,seedling,Ev adult,high,9,1,223.89239731146415,5.41116556729557,Mv,m,a,D210f
D2,10,fungicide,Mv,2,222.9635581212077,seedling,Ev adult,high,9,1,223.9635581212077,5.411483351661187,Mv,m,a,D210f
D2,10,fungicide,Mv,3,202.33700534220463,seedling,Ev adult,high,9,1,203.33700534220463,5.314864727396207,Mv,m,a,D210f
D2,2,water,Mv,1,1436.5103485185778,seedling,Mv,low,7,0,1437.5103485185778,7.270667971615039,Mv,m,m,D22w
D2,2,water,Mv,2,865.7068358932771,seedling,Mv,low,7,0,866.7068358932771,6.764700783375004,Mv,m,m,D22w
D2,2,water,Mv,3,1753.6081221044456,seedling,Mv,low,7,0,1754.6081221044456,7.470000818718361,Mv,m,m,D22w
D2,3,water,Mv,1,349.927447617733,seedling,Mv,medium,19,0,350.927447617733,5.860579500156294,Mv,m,m,D23w
D2,3,water,Mv,2,307.505891740119,seedling,Mv,medium,19,0,308.505891740119,5.731740941186154,Mv,m,m,D23w
D2,3,water,Mv,3,240.4382075574037,seedling,Mv,medium,19,0,241.4382075574037,5.486613571024965,Mv,m,m,D23w
D2,4,water,Mv,1,388.1542244356014,seedling,Mv,high,67,0,389.1542244356014,5.963975728892156,Mv,m,m,D24w
D2,4,water,Mv,2,234.7087202493995,seedling,Mv,high,67,0,235.7087202493995,5.462596806497414,Mv,m,m,D24w
D2,4,water,Mv,3,212.02319285438804,seedling,Mv,high,67,0,213.02319285438804,5.361401046422024,Mv,m,m,D24w
D2,5,water,Mv,1,1080.7871423480342,seedling,Ev seedling,low,7,0,1081.7871423480342,6.986369713942433,Mv,m,s,D25w
D2,5,water,Mv,2,2740.379636971623,seedling,Ev seedling,low,7,0,2741.379636971623,7.916216589802824,Mv,m,s,D25w
D2,5,water,Mv,3,1650.8946976972388,seedling,Ev seedling,low,7,0,1651.8946976972388,7.409678209735276,Mv,m,s,D25w
D2,6,water,Mv,1,386.6874124094993,seedling,Ev seedling,medium,11,0,387.6874124094993,5.96019937680263,Mv,m,s,D26w
D2,6,water,Mv,2,507.5268114994094,seedling,Ev seedling,medium,11,0,508.5268114994094,6.231517940744453,Mv,m,s,D26w
D2,6,water,Mv,3,412.288060527247,seedling,Ev seedling,medium,11,0,413.288060527247,6.02414483294955,Mv,m,s,D26w
D2,7,water,Mv,1,2473.3934154362646,seedling,Ev seedling,high,19,0,2474.3934154362646,7.813750560292418,Mv,m,s,D27w
D2,7,water,Mv,2,1016.7109726374772,seedling,Ev seedling,high,19,0,1017.7109726374772,6.925311239939386,Mv,m,s,D27w
D2,7,water,Mv,3,1020.1288398486216,seedling,Ev seedling,high,19,0,1021.1288398486216,6.9286640000649244,Mv,m,s,D27w
D2,8,water,Mv,1,658.9751321954677,seedling,Ev adult,low,3,0,659.9751321954677,6.492202155818903,Mv,m,a,D28w
D2,8,water,Mv,2,573.3224507163438,seedling,Ev adult,low,3,0,574.3224507163438,6.353190999420886,Mv,m,a,D28w
D2,8,water,Mv,3,1731.3299960412212,seedling,Ev adult,low,3,0,1732.3299960412212,7.457222599866216,Mv,m,a,D28w
D2,9,water,Mv,1,128.77400000171667,seedling,Ev adult,medium,5,0,129.77400000171667,4.865794476052447,Mv,m,a,D29w
D2,9,water,Mv,2,130.8207884239899,seedling,Ev adult,medium,5,0,131.8207884239899,4.881443336671699,Mv,m,a,D29w
D2,9,water,Mv,3,202.6031692505591,seedling,Ev adult,medium,5,0,203.6031692505591,5.316172850618868,Mv,m,a,D29w
D2,10,water,Mv,1,196.8284137946425,seedling,Ev adult,high,9,0,197.8284137946425,5.2874000579855265,Mv,m,a,D210w
D2,10,water,Mv,2,496.7649023543999,seedling,Ev adult,high,9,0,497.7649023543999,6.210127881932393,Mv,m,a,D210w
D2,10,water,Mv,3,465.3651143938412,seedling,Ev adult,high,9,0,466.3651143938412,6.144968834626969,Mv,m,a,D210w
D3,2,fungicide,Mv,1,2033.237987468732,seedling,Mv,low,7,1,2034.237987468732,7.617876574419221,Mv,m,m,D32f
D3,2,fungicide,Mv,2,503.7836177233092,seedling,Mv,low,7,1,504.7836177233092,6.224129857695855,Mv,m,m,D32f
D3,2,fungicide,Mv,3,1252.7173257714828,seedling,Mv,low,7,1,1253.7173257714828,7.133868277737331,Mv,m,m,D32f
D3,3,fungicide,Mv,1,568.583405683868,seedling,Mv,medium,19,1,569.583405683868,6.344905226393657,Mv,m,m,D33f
D3,3,fungicide,Mv,2,445.1200582853699,seedling,Mv,medium,19,1,446.1200582853699,6.100588104775861,Mv,m,m,D33f
D3,3,fungicide,Mv,3,531.6615317470922,seedling,Mv,medium,19,1,532.6615317470922,6.277886197587413,Mv,m,m,D33f
D3,4,fungicide,Mv,1,537.5335527140247,seedling,Mv,high,67,1,538.5335527140247,6.288849802388033,Mv,m,m,D34f
D3,4,fungicide,Mv,2,249.31938616877383,seedling,Mv,high,67,1,250.31938616877383,5.522737647171514,Mv,m,m,D34f
D3,4,fungicide,Mv,3,276.8706413938332,seedling,Mv,high,67,1,277.8706413938332,5.627155686669064,Mv,m,m,D34f
D3,5,fungicide,Mv,1,1115.743418473331,seedling,Ev seedling,low,7,1,1116.743418473331,7.018172066750193,Mv,m,s,D35f
D3,5,fungicide,Mv,2,876.0855040545285,seedling,Ev seedling,low,7,1,877.0855040545285,6.776604483691048,Mv,m,s,D35f
D3,5,fungicide,Mv,3,593.2550025719181,seedling,Ev seedling,low,7,1,594.2550025719181,6.387308524500062,Mv,m,s,D35f
D3,6,fungicide,Mv,1,644.003600316702,seedling,Ev seedling,medium,11,1,645.003600316702,6.469255898666553,Mv,m,s,D36f
D3,6,fungicide,Mv,2,909.429581986666,seedling,Ev seedling,medium,11,1,910.429581986666,6.813916556239011,Mv,m,s,D36f
D3,6,fungicide,Mv,3,555.1083201693655,seedling,Ev seedling,medium,11,1,556.1083201693655,6.320963095724042,Mv,m,s,D36f
D3,7,fungicide,Mv,1,926.7606015684552,seedling,Ev seedling,high,19,1,927.7606015684552,6.832773727057799,Mv,m,s,D37f
D3,7,fungicide,Mv,2,1394.8231128086124,seedling,Ev seedling,high,19,1,1395.8231128086124,7.2412395652714405,Mv,m,s,D37f
D3,7,fungicide,Mv,3,441.5165816583416,seedling,Ev seedling,high,19,1,442.5165816583416,6.092477936420119,Mv,m,s,D37f
D3,8,fungicide,Mv,1,1163.5871543474582,seedling,Ev adult,low,3,1,1164.5871543474582,7.060121929243834,Mv,m,a,D38f
D3,8,fungicide,Mv,2,1053.0787748393373,seedling,Ev adult,low,3,1,1054.0787748393373,6.960422465245245,Mv,m,a,D38f
D3,8,fungicide,Mv,3,760.0515379443141,seedling,Ev adult,low,3,1,761.0515379443141,6.634701079542652,Mv,m,a,D38f
D3,9,fungicide,Mv,1,582.4092983456992,seedling,Ev adult,medium,5,1,583.4092983456992,6.3688889955063,Mv,m,a,D39f
D3,9,fungicide,Mv,2,284.5855500771283,seedling,Ev adult,medium,5,1,285.5855500771283,5.654541634217423,Mv,m,a,D39f
D3,9,fungicide,Mv,3,1552.7649983497934,seedling,Ev adult,medium,5,1,1553.7649983497934,7.348436295779003,Mv,m,a,D39f
D3,10,fungicide,Mv,1,530.4785028027753,seedling,Ev adult,high,9,1,531.4785028027753,6.27566275068515,Mv,m,a,D310f
D3,10,fungicide,Mv,2,368.5024271125149,seedling,Ev adult,high,9,1,369.5024271125149,5.912157309006777,Mv,m,a,D310f
D3,10,fungicide,Mv,3,195.78597415601064,seedling,Ev adult,high,9,1,196.78597415601064,5.282116712545893,Mv,m,a,D310f
