process_date,site,plot,treatment,sp,plant,flowers,stem_seed_weight.g,biomass_weight.g,process_notes,ID,seeds_collected,seeds_green,processing_notes,background,density,plant_growth,age,focal,foc,bg,fungicide,plotf,plot_biomass
11/16/19,D1,10,fungicide,Mv,1,39,3.7958,59.07,NA,1,NA,NA,NA,Ev adult,9,4.078723181319144,seedling,Mv,m,a,1,D110f,47.69
11/12/19,D1,10,fungicide,Mv,2,23,0.395,31.92,NA,2,NA,NA,NA,Ev adult,9,3.463232772581608,seedling,Mv,m,a,1,D110f,47.69
11/12/19,D1,10,fungicide,Mv,3,180,7.2888,91.42,NA,3,NA,NA,NA,Ev adult,9,4.515464272903598,seedling,Mv,m,a,1,D110f,47.69
11/23/19,D1,2,water,Mv,1,40,0.6062,16.9,NA,1,NA,NA,NA,Mv,7,2.8273136219290276,seedling,Mv,m,m,0,D12w,242.85999999999999
11/19/19,D1,2,water,Mv,2,32,1.5264,31.91,NA,2,NA,NA,NA,Mv,7,3.462919440290152,seedling,Mv,m,m,0,D12w,227.85
11/19/19,D1,2,water,Mv,3,41,1.1992,19.65,NA,3,NA,NA,NA,Mv,7,2.9780773383152703,seedling,Mv,m,m,0,D12w,240.10999999999999
12/7/19,D1,3,water,Mv,1,12,0.2111,11.42,NA,1,NA,NA,NA,Mv,19,2.435366204227864,seedling,Mv,m,m,0,D13w,319.57
11/16/19,D1,3,water,Mv,2,21,0.0488,9.31,NA,2,NA,NA,NA,Mv,19,2.231089091288976,seedling,Mv,m,m,0,D13w,321.68
11/7/19,D1,3,water,Mv,3,33,0.5943,23.76,NA,3,NA,NA,NA,Mv,19,3.168003494494444,seedling,Mv,m,m,0,D13w,307.23
11/23/19,D1,4,water,Mv,1,12,0.1671,5.86,NA,1,NA,NA,NA,Mv,67,1.7681496035889213,seedling,Mv,m,m,0,D14w,232.22
12/7/19,D1,4,water,Mv,2,4,0.088,3.29,NA,2,NA,NA,NA,Mv,67,1.1908875647772805,seedling,Mv,m,m,0,D14w,234.79000000000002
12/7/19,D1,4,water,Mv,3,12,0.0934,4.77,NA,3,NA,NA,NA,Mv,67,1.5623463049002497,seedling,Mv,m,m,0,D14w,233.31
11/26/19,D1,5,water,Mv,1,10,0.1615,3.83,NA,1,NA,NA,NA,Ev seedling,7,1.3428648031925547,seedling,Mv,m,s,0,D15w,7
12/7/19,D1,5,water,Mv,2,8,0.3372,5.58,NA,2,NA,NA,NA,Ev seedling,7,1.7191887763932197,seedling,Mv,m,s,0,D15w,7
12/7/19,D1,5,water,Mv,3,7,0.052,1.17,NA,3,NA,NA,NA,Ev seedling,7,0.1570037488096647,seedling,Mv,m,s,0,D15w,7
12/7/19,D1,6,water,Mv,1,34,1.3841,21.52,NA,1,NA,NA,NA,Ev seedling,11,3.0689827352935835,seedling,Mv,m,s,0,D16w,8.03
12/7/19,D1,6,water,Mv,2,17,0.2654,6.44,NA,2,NA,NA,NA,Ev seedling,11,1.8625285401162623,seedling,Mv,m,s,0,D16w,8.03
12/7/19,D1,6,water,Mv,3,29,0.8625,14.88,NA,3,NA,NA,NA,Ev seedling,11,2.700018029404946,seedling,Mv,m,s,0,D16w,8.03
11/23/19,D1,7,water,Mv,1,33,0.8905,23.38,NA,1,NA,NA,NA,Ev seedling,19,3.1518809560439225,seedling,Mv,m,s,0,D17w,33.43
11/26/19,D1,7,water,Mv,2,31,0.9239,18.76,NA,2,NA,NA,NA,Ev seedling,19,2.9317269435780786,seedling,Mv,m,s,0,D17w,33.43
11/19/19,D1,7,water,Mv,3,38,1.1319,19.58,NA,3,NA,NA,NA,Ev seedling,19,2.9745086371023644,seedling,Mv,m,s,0,D17w,33.43
11/23/19,D1,8,water,Mv,1,76,4.2533,49,NA,1,NA,NA,NA,Ev adult,3,3.8918202981106265,seedling,Mv,m,a,0,D18w,18.09
12/7/19,D1,8,water,Mv,2,39,2.2677,45.89,NA,2,NA,NA,NA,Ev adult,3,3.8262472284067424,seedling,Mv,m,a,0,D18w,18.09
11/16/19,D1,8,water,Mv,3,48,2.6538,30.64,NA,3,NA,NA,NA,Ev adult,3,3.4223063448723905,seedling,Mv,m,a,0,D18w,18.09
11/16/19,D1,9,water,Mv,1,22,0.6835,11.59,NA,1,NA,NA,NA,Ev adult,5,2.4501426573516603,seedling,Mv,m,a,0,D19w,26.62
11/19/19,D1,9,water,Mv,2,17,0.3652,9.91,NA,2,NA,NA,NA,Ev adult,5,2.2935443483418965,seedling,Mv,m,a,0,D19w,26.62
11/7/19,D1,9,water,Mv,3,37,0.3968,14.12,NA,3,NA,NA,NA,Ev adult,5,2.647592232065096,seedling,Mv,m,a,0,D19w,26.62
11/19/19,D1,10,water,Mv,1,90,3.3069,42.92,NA,1,NA,NA,NA,Ev adult,9,3.759337917762498,seedling,Mv,m,a,0,D110w,41.92
11/16/19,D1,10,water,Mv,2,27,1.1682,25.78,NA,2,NA,NA,NA,Ev adult,9,3.2495989975110415,seedling,Mv,m,a,0,D110w,41.92
11/26/19,D1,10,water,Mv,3,58,2.6163,32.94,NA,3,NA,NA,NA,Ev adult,9,3.494687724749494,seedling,Mv,m,a,0,D110w,41.92
3/10/20,D2,2,fungicide,Mv,1,3,0.2861,5.27,NA,1,NA,NA,NA,Mv,7,1.6620303625532709,seedling,Mv,m,m,1,D22f,13.870000000000001
2/22/20,D2,2,fungicide,Mv,2,NA,NA,2.83,NA,2,NA,NA,NA,Mv,7,1.0402767116551463,seedling,Mv,m,m,1,D22f,16.310000000000002
2/29/20,D2,2,fungicide,Mv,3,0,0.0035,2.76,hardly any seeds,3,NA,NA,NA,Mv,7,1.0152306797290584,seedling,Mv,m,m,1,D22f,16.380000000000003
2/26/20,D2,3,fungicide,Mv,1,2,0.2642,7.52,NA,1,NA,NA,NA,Mv,19,2.017566137961748,seedling,Mv,m,m,1,D23f,236.85999999999996
2/22/20,D2,3,fungicide,Mv,2,3,0.2341,11.85,NA,2,NA,NA,NA,Mv,19,2.47232786758114,seedling,Mv,m,m,1,D23f,232.52999999999997
2/25/20,D2,3,fungicide,Mv,3,4,0.1541,8.3,NA,3,NA,NA,NA,Mv,19,2.1162555148025524,seedling,Mv,m,m,1,D23f,236.07999999999996
2/25/20,D2,4,fungicide,Mv,1,2,0.1592,7.44,NA,1,NA,NA,NA,Mv,67,2.0068708488450007,seedling,Mv,m,m,1,D24f,327.01
2/22/20,D2,4,fungicide,Mv,2,1,0.2098,7.63,NA,2,NA,NA,NA,Mv,67,2.0320878452963655,seedling,Mv,m,m,1,D24f,326.82
2/22/20,D2,4,fungicide,Mv,3,2,0.1173,9.02,NA,3,NA,NA,NA,Mv,67,2.199444334074532,seedling,Mv,m,m,1,D24f,325.43
2/28/20,D2,5,fungicide,Mv,1,25,1.4368,33.16,NA,1,NA,NA,NA,Ev seedling,7,3.501344330267094,seedling,Mv,m,s,1,D25f,14.75
3/11/20,D2,5,fungicide,Mv,2,11,1.1367,23.33,NA,2,NA,NA,NA,Ev seedling,7,3.1497400860333387,seedling,Mv,m,s,1,D25f,14.75
3/10/20,D2,5,fungicide,Mv,3,14,0.9791,21.73,NA,3,NA,NA,NA,Ev seedling,7,3.078693794268338,seedling,Mv,m,s,1,D25f,14.75
2/26/20,D2,6,fungicide,Mv,1,12,0.3905,17.25,NA,1,NA,NA,NA,Ev seedling,11,2.847812143477369,seedling,Mv,m,s,1,D26f,13.28
2/22/20,D2,6,fungicide,Mv,2,3,0.356,8.77,NA,2,NA,NA,NA,Ev seedling,11,2.1713368063840917,seedling,Mv,m,s,1,D26f,13.28
2/26/20,D2,6,fungicide,Mv,3,11,0.5542,21.87,NA,3,NA,NA,NA,Ev seedling,11,3.0851158346886765,seedling,Mv,m,s,1,D26f,13.28
2/26/20,D2,7,fungicide,Mv,1,2,0.1049,4.4,NA,1,NA,NA,NA,Ev seedling,19,1.4816045409242156,seedling,Mv,m,s,1,D27f,19.96
3/10/20,D2,7,fungicide,Mv,2,0,0.0726,2.54,NA,2,NA,NA,NA,Ev seedling,19,0.9321640810304452,seedling,Mv,m,s,1,D27f,19.96
2/28/20,D2,7,fungicide,Mv,3,0,0.0694,2.29,NA,3,NA,NA,NA,Ev seedling,19,0.8285518175661483,seedling,Mv,m,s,1,D27f,19.96
2/29/20,D2,8,fungicide,Mv,1,53,3.2189,75.87,NA,1,NA,NA,NA,Ev adult,3,4.329021349349984,seedling,Mv,m,a,1,D28f,55.56
3/11/20,D2,8,fungicide,Mv,2,17,1.2085,31.58,NA,2,NA,NA,NA,Ev adult,3,3.452524008827496,seedling,Mv,m,a,1,D28f,55.56
3/11/20,D2,8,fungicide,Mv,3,43,1.699,37.31,NA,3,NA,NA,NA,Ev adult,3,3.6192613872330663,seedling,Mv,m,a,1,D28f,55.56
2/25/20,D2,9,fungicide,Mv,1,13,0.6386,9.42,"extra plant material between Mv 1 and Mv 2, did not process",1,NA,NA,NA,Ev adult,5,2.2428350885882717,seedling,Mv,m,a,1,D29f,16.98
2/23/20,D2,9,fungicide,Mv,2,5,0.4513,7.95,"extra plant material between Mv 1 and Mv 2, did not process",2,NA,NA,NA,Ev adult,5,2.0731719286662407,seedling,Mv,m,a,1,D29f,16.98
2/22/20,D2,9,fungicide,Mv,3,1,0.0643,5.63,flower number originally recorded as D2 2F Mv2,3,NA,NA,NA,Ev adult,5,1.728109442151599,seedling,Mv,m,a,1,D29f,16.98
2/28/20,D2,10,fungicide,Mv,1,3,0.1155,5.36,NA,1,NA,NA,NA,Ev adult,9,1.6789639750827108,seedling,Mv,m,a,1,D210f,37.78
2/25/20,D2,10,fungicide,Mv,2,6,0.0887,4.44,NA,2,NA,NA,NA,Ev adult,9,1.4906543764441336,seedling,Mv,m,a,1,D210f,37.78
2/25/20,D2,10,fungicide,Mv,3,6,0.072,3.71,NA,3,NA,NA,NA,Ev adult,9,1.3110318766193438,seedling,Mv,m,a,1,D210f,37.78
2/25/20,D2,2,water,Mv,1,22,0.9252,22.5,NA,1,NA,NA,NA,Mv,7,3.1135153092103742,seedling,Mv,m,m,0,D22w,108.99000000000001
2/25/20,D2,2,water,Mv,2,6,0.691,20.1,NA,2,NA,NA,NA,Mv,7,3.0007198150650303,seedling,Mv,m,m,0,D22w,111.39000000000001
2/22/20,D2,2,water,Mv,3,12,1.3746,22.23,NA,3,NA,NA,NA,Mv,7,3.101442727976105,seedling,Mv,m,m,0,D22w,109.26
3/10/20,D2,3,water,Mv,1,7,0.2091,4.85,NA,1,NA,NA,NA,Mv,19,1.5789787049493917,seedling,Mv,m,m,0,D23w,109.18
3/10/20,D2,3,water,Mv,2,7,0.127,5.94,NA,2,NA,NA,NA,Mv,19,1.7817091333745536,seedling,Mv,m,m,0,D23w,108.09
3/11/20,D2,3,water,Mv,3,5,0.1123,5.81,NA,3,NA,NA,NA,Mv,19,1.7595805708638197,seedling,Mv,m,m,0,D23w,108.22
2/28/20,D2,4,water,Mv,1,2,0.2749,7.99,NA,1,NA,NA,NA,Mv,67,2.0781907597781832,seedling,Mv,m,m,0,D24w,321.43
3/10/20,D2,4,water,Mv,2,3,0.122,4.65,NA,2,NA,NA,NA,Mv,67,1.536867219599265,seedling,Mv,m,m,0,D24w,324.77000000000004
3/11/20,D2,5,water,Mv,1,15,0.7046,20.27,NA,1,NA,NA,NA,Ev seedling,7,3.0091419604639085,seedling,Mv,m,s,0,D25w,17.7
2/29/20,D2,5,water,Mv,2,43,1.5593,36.68,NA,2,NA,NA,NA,Ev seedling,7,3.602231647388264,seedling,Mv,m,s,0,D25w,17.7
3/11/20,D2,5,water,Mv,3,30,1.066,30.73,NA,3,NA,NA,NA,Ev seedling,7,3.425239376142393,seedling,Mv,m,s,0,D25w,17.7
2/22/20,D2,6,water,Mv,1,2,0.2728,12.64,NA,1,NA,NA,NA,Ev seedling,11,2.5368663887187113,seedling,Mv,m,s,0,D26w,19.23
2/26/20,D2,6,water,Mv,2,5,0.3375,16.49,NA,2,NA,NA,NA,Ev seedling,11,2.8027541365715076,seedling,Mv,m,s,0,D26w,19.23
2/26/20,D2,6,water,Mv,3,5,0.2363,8.75,NA,3,NA,NA,NA,Ev seedling,11,2.169053700369523,seedling,Mv,m,s,0,D26w,19.23
3/10/20,D2,7,water,Mv,1,11,2.0794,26.07,NA,1,NA,NA,NA,Ev seedling,19,3.2607852279454104,seedling,Mv,m,s,0,D27w,50.21
3/10/20,D2,7,water,Mv,2,14,0.7049,29.62,NA,2,NA,NA,NA,Ev seedling,19,3.3884498088396526,seedling,Mv,m,s,0,D27w,50.21
3/10/20,D2,7,water,Mv,3,1,0.8713,25.58,NA,3,NA,NA,NA,Ev seedling,19,3.2418107961506966,seedling,Mv,m,s,0,D27w,50.21
2/26/20,D2,8,water,Mv,1,10,0.3935,17.3,NA,1,NA,NA,NA,Ev adult,3,2.8507065015037334,seedling,Mv,m,a,0,D28w,9.4
2/25/20,D2,8,water,Mv,2,12,0.2745,10.73,NA,2,NA,NA,NA,Ev adult,3,2.373043556642607,seedling,Mv,m,a,0,D28w,9.4
2/22/20,D2,8,water,Mv,3,8,1.3925,36.62,NA,3,NA,NA,NA,Ev adult,3,3.6005945392463645,seedling,Mv,m,a,0,D28w,9.4
2/28/20,D2,9,water,Mv,1,0,0.0561,5.98,NA,1,NA,NA,NA,Ev adult,5,1.7884205679625405,seedling,Mv,m,a,0,D29w,31.81
3/10/20,D2,9,water,Mv,2,2,0.0441,8.08,NA,2,NA,NA,NA,Ev adult,5,2.089391872533004,seedling,Mv,m,a,0,D29w,31.81
2/25/20,D2,9,water,Mv,3,2,0.1106,9.89,NA,3,NA,NA,NA,Ev adult,5,2.2915241456346207,seedling,Mv,m,a,0,D29w,31.81
2/28/20,D2,10,water,Mv,1,1,0.1084,6.27,NA,1,NA,NA,NA,Ev adult,9,1.8357763546448294,seedling,Mv,m,a,0,D210w,78.42
3/10/20,D2,10,water,Mv,2,2,0.3833,13.75,NA,2,NA,NA,NA,Ev adult,9,2.6210388241125804,seedling,Mv,m,a,0,D210w,78.42
3/10/20,D2,10,water,Mv,3,4,0.3405,12.49,NA,3,NA,NA,NA,Ev adult,9,2.5249283241374862,seedling,Mv,m,a,0,D210w,78.42
2/4/20,D3,2,fungicide,Mv,1,5,1.7602,39.97,NA,1,NA,NA,NA,Mv,7,3.688129172723232,seedling,Mv,m,m,1,D32f,130
2/4/20,D3,2,fungicide,Mv,2,5,0.3785,11.8,NA,2,NA,NA,NA,Mv,7,2.468099531471619,seedling,Mv,m,m,1,D32f,158.17
1/29/20,D3,2,fungicide,Mv,3,7,1.026,30.8,NA,3,NA,NA,NA,Mv,7,3.427514689979529,seedling,Mv,m,m,1,D32f,139.17
1/27/20,D3,3,fungicide,Mv,1,4,0.4213,13.19,NA,1,NA,NA,NA,Mv,19,2.579458966729223,seedling,Mv,m,m,1,D33f,372.42
1/27/20,D3,3,fungicide,Mv,2,6,0.2858,10.59,NA,2,NA,NA,NA,Mv,19,2.359910159613315,seedling,Mv,m,m,1,D33f,375.02000000000004
1/27/20,D3,3,fungicide,Mv,3,2,0.4034,12.63,NA,3,NA,NA,NA,Mv,19,2.5360749363624,seedling,Mv,m,m,1,D33f,372.98
1/22/20,D3,4,fungicide,Mv,1,7,0.2973,8.41,NA,1,NA,NA,NA,Mv,67,2.1294214739848565,seedling,Mv,m,m,1,D34f,486.46
12/7/19,D3,4,fungicide,Mv,2,2,0.1385,4.93,NA,2,NA,NA,NA,Mv,67,1.5953389880545987,seedling,Mv,m,m,1,D34f,489.94
1/31/20,D3,4,fungicide,Mv,3,2,0.1681,5.53,NA,3,NA,NA,NA,Mv,67,1.7101878155342434,seedling,Mv,m,m,1,D34f,489.34000000000003
1/31/20,D3,5,fungicide,Mv,1,12,0.8526,31.77,NA,1,NA,NA,NA,Ev seedling,7,3.4585224482814247,seedling,Mv,m,s,1,D35f,27.39
1/29/20,D3,5,fungicide,Mv,2,8,0.658,23.44,NA,2,NA,NA,NA,Ev seedling,7,3.154443964708812,seedling,Mv,m,s,1,D35f,27.39
1/31/20,D3,5,fungicide,Mv,3,7,0.4008,17.4,NA,3,NA,NA,NA,Ev seedling,7,2.856470206220483,seedling,Mv,m,s,1,D35f,27.39
NA,D3,6,fungicide,Mv,1,5,0.4952,5.64,NA,1,NA,NA,NA,Ev seedling,11,1.7298840655099674,seedling,Mv,m,s,1,D36f,29.43
NA,D3,6,fungicide,Mv,2,8,0.7215,9.04,NA,2,NA,NA,NA,Ev seedling,11,2.201659174404085,seedling,Mv,m,s,1,D36f,29.43
12/7/19,D3,6,fungicide,Mv,3,14,0.3914,14.23,NA,3,NA,NA,NA,Ev seedling,11,2.655352412101761,seedling,Mv,m,s,1,D36f,29.43
1/29/20,D3,7,fungicide,Mv,1,3,0.7798,24.67,NA,1,NA,NA,NA,Ev seedling,19,3.2055879305412653,seedling,Mv,m,s,1,D37f,77.91
12/7/19,D3,7,fungicide,Mv,3,5,0.3273,11.85,NA,3,NA,NA,NA,Ev seedling,19,2.47232786758114,seedling,Mv,m,s,1,D37f,77.91
12/7/19,D3,8,fungicide,Mv,1,31,0.7965,25.95,NA,1,NA,NA,NA,Ev adult,3,3.2561716096118976,seedling,Mv,m,a,1,D38f,46.620000000000005
1/22/20,D3,8,fungicide,Mv,2,10,0.7901,26.25,NA,2,NA,NA,NA,Ev adult,3,3.2676659890376327,seedling,Mv,m,a,1,D38f,46.620000000000005
1/22/20,D3,8,fungicide,Mv,3,9,0.5342,14.52,NA,3,NA,NA,NA,Ev adult,3,2.67552700939665,seedling,Mv,m,a,1,D38f,46.620000000000005
12/17/19,D3,9,fungicide,Mv,1,11,0.3826,11.12,NA,1,NA,NA,NA,Ev adult,5,2.4087452888224363,seedling,Mv,m,a,1,D39f,50.65
1/27/20,D3,9,fungicide,Mv,2,3,0.1771,11.59,NA,2,NA,NA,NA,Ev adult,5,2.4501426573516603,seedling,Mv,m,a,1,D39f,50.65
12/17/20,D3,9,fungicide,Mv,3,22,1.1185,29.08,NA,3,NA,NA,NA,Ev adult,5,3.3700506526653187,seedling,Mv,m,a,1,D39f,50.65
1/29/20,D3,10,fungicide,Mv,1,8,0.3734,6.22,NA,1,NA,NA,NA,Ev adult,9,1.827769906751088,seedling,Mv,m,a,1,D310f,175.04999999999998
1/31/20,D3,10,fungicide,Mv,2,2,0.2604,7.34,NA,2,NA,NA,NA,Ev adult,9,1.9933388426264242,seedling,Mv,m,a,1,D310f,175.04999999999998
1/31/20,D3,10,fungicide,Mv,3,3,0.0915,10.88,NA,3,NA,NA,NA,Ev adult,9,2.3869262414277967,seedling,Mv,m,a,1,D310f,175.04999999999998
1/22/20,D3,2,water,Mv,1,2,0.6237,14.51,NA,1,NA,NA,NA,Mv,7,2.6748380668960965,seedling,Mv,m,m,0,D32w,104.19
1/17/20,D3,2,water,Mv,2,11,0.712,13.73,NA,2,NA,NA,NA,Mv,7,2.6195832197798796,seedling,Mv,m,m,0,D32w,104.97
12/17/19,D3,2,water,Mv,3,12,0.7114,25.66,NA,3,NA,NA,NA,Mv,7,3.2449333591874905,seedling,Mv,m,m,0,D32w,93.04
1/29/20,D3,3,water,Mv,1,17,1.0519,19.49,NA,1,NA,NA,NA,Mv,19,2.9699015135194693,seedling,Mv,m,m,0,D33w,296.49
1/31/20,D3,3,water,Mv,2,13,0.4037,9.6,NA,2,NA,NA,NA,Mv,19,2.2617630984737906,seedling,Mv,m,m,0,D33w,306.38
1/29/20,D3,3,water,Mv,3,6,0.3886,10.19,NA,3,NA,NA,NA,Mv,19,2.321406847234633,seedling,Mv,m,m,0,D33w,305.79
1/27/20,D3,4,water,Mv,1,NA,0.1367,4.14,NA,1,NA,NA,NA,Mv,67,1.4206957878372228,seedling,Mv,m,m,0,D34w,336.09000000000003
1/27/20,D3,4,water,Mv,2,0,0.0747,4.2,NA,2,NA,NA,NA,Mv,67,1.4350845252893227,seedling,Mv,m,m,0,D34w,336.03000000000003
12/17/19,D3,4,water,Mv,3,5,0.3467,8.89,NA,3,NA,NA,NA,Mv,67,2.1849270495258133,seedling,Mv,m,m,0,D34w,331.34000000000003
12/17/19,D3,5,water,Mv,1,12,0.4102,12.97,NA,1,NA,NA,NA,Ev seedling,7,2.5626389983283526,seedling,Mv,m,s,0,D35w,15.36
12/17/19,D3,5,water,Mv,2,8,0.668,18.55,NA,2,NA,NA,NA,Ev seedling,7,2.920469789053444,seedling,Mv,m,s,0,D35w,15.36
1/29/20,D3,5,water,Mv,3,22,0.7394,15.33,NA,3,NA,NA,NA,Ev seedling,7,2.7298116928837226,seedling,Mv,m,s,0,D35w,15.36
12/17/19,D3,6,water,Mv,1,12,0.509,14.58,NA,1,NA,NA,NA,Ev seedling,11,2.6796507265805123,seedling,Mv,m,s,0,D36w,22.21
3/4/20,D3,6,water,Mv,2,17,0.8391,15.1,NA,2,NA,NA,NA,Ev seedling,11,2.714694743820879,seedling,Mv,m,s,0,D36w,22.21
1/17/20,D3,6,water,Mv,3,13,0.5601,8.26,NA,3,NA,NA,NA,Ev seedling,11,2.1114245875328868,seedling,Mv,m,s,0,D36w,22.21
12/7/19,D3,7,water,Mv,1,7,0.4996,11.08,NA,1,NA,NA,NA,Ev seedling,19,2.405141681319138,seedling,Mv,m,s,0,D37w,50.760000000000005
1/31/20,D3,7,water,Mv,2,2,0.3436,11.36,NA,2,NA,NA,NA,Ev seedling,19,2.4300984132930052,seedling,Mv,m,s,0,D37w,50.760000000000005
1/29/20,D3,7,water,Mv,3,8,0.4723,10.44,NA,3,NA,NA,NA,Ev seedling,19,2.3456445824544927,seedling,Mv,m,s,0,D37w,50.760000000000005
NA,D3,8,water,Mv,1,14,0.5746,13.57,NA,1,NA,NA,NA,Ev adult,3,2.6078614738467776,seedling,Mv,m,a,0,D38w,32.65
1/31/20,D3,8,water,Mv,2,7,0.6971,18.97,NA,2,NA,NA,NA,Ev adult,3,2.9428587839469227,seedling,Mv,m,a,0,D38w,32.65
1/31/20,D3,8,water,Mv,3,7,0.5219,21.76,NA,3,NA,NA,NA,Ev adult,3,3.080073421987742,seedling,Mv,m,a,0,D38w,32.65
1/17/20,D3,9,water,Mv,1,11,0.4729,6.14,NA,1,NA,NA,NA,Ev adult,5,1.814824742159051,seedling,Mv,m,a,0,D39w,17.56
12/17/19,D3,9,water,Mv,2,19,0.5662,13.34,NA,2,NA,NA,NA,Ev adult,5,2.590767040487478,seedling,Mv,m,a,0,D39w,17.56
12/17/19,D3,9,water,Mv,3,8,0.5963,13.67,NA,3,NA,NA,NA,Ev adult,5,2.6152036507358583,seedling,Mv,m,a,0,D39w,17.56
1/31/20,D3,10,water,Mv,1,4,0.1107,10.69,NA,1,NA,NA,NA,Ev adult,9,2.3693087250369538,seedling,Mv,m,a,0,D310w,75.06
12/7/19,D3,10,water,Mv,2,13,0.5236,14.76,NA,2,NA,NA,NA,Ev adult,9,2.6919208191723265,seedling,Mv,m,a,0,D310w,75.06
NA,D3,10,water,Mv,3,9,1.3333,18.68,NA,3,NA,NA,NA,Ev adult,9,2.9274534328006965,seedling,Mv,m,a,0,D310w,75.06
2/4/20,D4,2,fungicide,Mv,1,11,1.3955,15.21,NA,1,NA,NA,NA,Mv,7,2.7219531062712017,seedling,Mv,m,m,1,D42f,112.1
2/12/20,D4,2,fungicide,Mv,2,14,0.7099,16.8,NA,2,NA,NA,NA,Mv,7,2.8213788864092133,seedling,Mv,m,m,1,D42f,110.51
