entry,sample_ID,site,plot,treatment,seeds_20_bio.g,seeds_bio.g,seeds_bio,seeds_20_soil.g,seeds_soil.g,seeds_soil,bio_bag.g,bag.g,bio.g,processing_notes,seeds_soil_total
56,D43W,D4,3,water,0.019,0.293,308.4210526,0.026,0.067,51.53846154,30.15,10.98,19.17,NA,505.07692309199996
55,D44F,D4,4,fungicide,0.02,0.536,536,0.029,0.06,41.37931034,26.19,8.43,17.76,NA,405.51724133199997
52,D44W,D4,4,water,0.015,0.3,400,0.023,0.098,85.2173913,32.16,8.68,23.48,NA,835.1304347399999
53,D45F,D4,5,fungicide,0.02,0.616,616,0.028,0.055,39.28571429,16.56,8.49,8.07,NA,385.00000004199995
17,D45W,D4,5,water,0.017,0.643,756.4705882,0.026,0.026,20,26.63,8.62,18.01,only had 20 soil seeds,195.99999999999997
59,D46F,D4,6,fungicide,0.016,0.583,728.75,0.03,0.211,140.6666667,17.53,6.29,11.24,NA,1378.53333366
57,D46W,D4,6,water,0.022,0.326,296.3636364,0.028,0.043,30.71428571,18.93,6.46,12.47,NA,300.99999995799993
49,D47F,D4,7,fungicide,0.018,0.236,262.2222222,0.021,0.054,51.42857143,30.4,11.07,19.33,NA,504.0000000139999
54,D47W,D4,7,water,0.019,0.394,414.7368421,0.025,0.057,45.6,29.18,8.43,20.75,NA,446.87999999999994
47,D48W,D4,8,water,0.016,0.329,411.25,0.022,0.038,34.54545455,31.45,10.8,20.65,NA,338.54545458999996
37,D49F,D4,9,fungicide,0.016,0.63,787.5,0.023,0.097,84.34782609,22.63,8.63,14,NA,826.6086956819998
20,D49W 20181023,D4,9,water,0.016,0.39,487.5,0.021,0.108,102.8571429,23.7,8.59,15.11,NA,1008.0000004199999
