process_date,site,plot,treatment,sp,plant,flowers,stem_seed_weight.g,biomass_weight.g,process_notes,stem_seeds,stem_seeds_adj,flowers_adj,mean_flower_seeds,analysis_notes,mean_flower_seeds_adj,flower_seeds,seeds,flower_seeds_adj,seeds_adj
2/28/20,D2,5,fungicide,Mv,1,25,1.4368,33.16,NA,1619.1489354489959,1619.1489354489959,25,16.2,NA,16.2,405,2024.1489354489959,405,2024.1489354489959
3/11/20,D2,5,fungicide,Mv,2,11,1.1367,23.33,NA,1295.2107025760122,1295.2107025760122,11,12,NA,12,132,1427.2107025760122,132,1427.2107025760122
3/10/20,D2,5,fungicide,Mv,3,14,0.9791,21.73,NA,1125.091857188534,1125.091857188534,14,8,NA,8,112,1237.091857188534,112,1237.091857188534
2/26/20,D2,6,fungicide,Mv,1,12,0.3905,17.25,NA,489.736829301036,489.736829301036,12,23,NA,23,276,765.736829301036,276,765.736829301036
2/22/20,D2,6,fungicide,Mv,2,3,0.356,8.77,NA,452.4963460150715,452.4963460150715,3,21,NA,21,63,515.4963460150715,63,515.4963460150715
2/26/20,D2,6,fungicide,Mv,3,11,0.5542,21.87,NA,666.440223907192,666.440223907192,11,21.6,NA,21.6,237.60000000000002,904.0402239071921,237.60000000000002,904.0402239071921
2/26/20,D2,7,fungicide,Mv,1,2,0.1049,4.4,NA,181.45039375113885,181.45039375113885,2,6,NA,6,12,193.45039375113885,12,193.45039375113885
3/10/20,D2,7,fungicide,Mv,2,0,0.0726,2.54,NA,146.58466592109096,146.58466592109096,0,4.25,NA,4.25,0,146.58466592109096,0,146.58466592109096
2/28/20,D2,7,fungicide,Mv,3,0,0.0694,2.29,NA,143.1304761670305,143.1304761670305,0,6,NA,6,0,143.1304761670305,0,143.1304761670305
2/29/20,D2,8,fungicide,Mv,1,53,3.2189,75.87,NA,3542.8087981712356,3542.8087981712356,53,16.6,NA,16.6,879.8000000000001,4422.608798171235,879.8000000000001,4422.608798171235
3/11/20,D2,8,fungicide,Mv,2,17,1.2085,31.58,NA,1372.714085182744,1372.714085182744,17,16.8,NA,16.8,285.6,1658.3140851827438,285.6,1658.3140851827438
3/11/20,D2,8,fungicide,Mv,3,43,1.699,37.31,NA,1902.176608422326,1902.176608422326,43,19.4,NA,19.4,834.1999999999999,2736.3766084223257,834.1999999999999,2736.3766084223257
2/25/20,D2,9,fungicide,Mv,1,13,0.6386,9.42,"extra plant material between Mv 1 and Mv 2, did not process",757.5444786705368,757.5444786705368,13,10.4,bags mixed up among plants,10.4,135.20000000000002,892.7444786705369,135.20000000000002,892.7444786705369
2/23/20,D2,9,fungicide,Mv,2,5,0.4513,7.95,"extra plant material between Mv 1 and Mv 2, did not process",555.3664346281848,555.3664346281848,5,10,bags mixed up among plants,10,50,605.3664346281848,50,605.3664346281848
2/22/20,D2,9,fungicide,Mv,3,1,0.0643,5.63,flower number originally recorded as D2 2F Mv2,137.62536124649662,137.62536124649662,1,11.8,bags mixed up among plants,11.8,11.8,149.42536124649664,11.8,149.42536124649664
2/28/20,D2,10,fungicide,Mv,1,3,0.1155,5.36,NA,192.89239731146418,192.89239731146418,3,10,bags mixed up among plants,10,30,222.89239731146418,30,222.89239731146418
2/25/20,D2,10,fungicide,Mv,2,6,0.0887,4.44,NA,163.9635581212077,163.9635581212077,6,9.833333333333334,bags mixed up among plants,9.833333333333334,59,222.9635581212077,59,222.9635581212077
2/25/20,D2,10,fungicide,Mv,3,6,0.072,3.71,NA,145.93700534220466,145.93700534220466,6,9.4,bags mixed up among plants,9.4,56.400000000000006,202.33700534220466,56.400000000000006,202.33700534220466
3/10/20,D2,1,water,Mv,1,0,0.0045,1.63,hardly any seeds,73.07519021749157,73.07519021749157,0,0,NA,0,0,73.07519021749157,0,73.07519021749157
3/11/20,D2,1,water,Mv,2,0,0.0082,1.29,hardly any seeds,77.06909712062398,77.06909712062398,0,0,NA,0,0,77.06909712062398,0,77.06909712062398
2/26/20,D2,1,water,Mv,3,0,0.0036,0.5,hardly any seeds,72.10369934916206,72.10369934916206,0,0,NA,0,0,72.10369934916206,0,72.10369934916206
2/25/20,D2,2,water,Mv,1,22,0.9252,22.5,NA,1066.9103485185778,1066.9103485185778,22,16.8,NA,16.8,369.6,1436.5103485185778,369.6,1436.5103485185778
2/25/20,D2,2,water,Mv,2,6,0.691,20.1,NA,814.1068358932771,814.1068358932771,6,8.6,NA,8.6,51.599999999999994,865.7068358932771,51.599999999999994,865.7068358932771
2/22/20,D2,2,water,Mv,3,12,1.3746,22.23,NA,1552.0081221044454,1552.0081221044454,12,16.8,NA,16.8,201.60000000000002,1753.6081221044456,201.60000000000002,1753.6081221044456
3/10/20,D2,3,water,Mv,1,7,0.2091,4.85,NA,293.927447617733,293.927447617733,7,8,NA,8,56,349.927447617733,56,349.927447617733
3/10/20,D2,3,water,Mv,2,7,0.127,5.94,NA,205.305891740119,205.305891740119,7,14.6,NA,14.6,102.2,307.505891740119,102.2,307.505891740119
3/11/20,D2,3,water,Mv,3,5,0.1123,5.81,NA,189.4382075574037,189.4382075574037,5,10.2,NA,10.2,51,240.4382075574037,51,240.4382075574037
2/28/20,D2,4,water,Mv,1,2,0.2749,7.99,NA,364.9542244356014,364.9542244356014,2,11.6,NA,11.6,23.2,388.1542244356014,23.2,388.1542244356014
3/10/20,D2,4,water,Mv,2,3,0.122,4.65,NA,199.90872024939952,199.90872024939952,3,11.6,NA,11.6,34.8,234.7087202493995,34.8,234.7087202493995
2/26/20,D2,4,water,Mv,3,1,0.1247,NA,original value: 40.22; this value is way higher than the other two in the plot and way higher than expected based on seeds,202.82319285438805,202.82319285438805,1,9.2,NA,9.2,9.2,212.02319285438804,9.2,212.02319285438804
3/11/20,D2,5,water,Mv,1,15,0.7046,20.27,NA,828.7871423480342,828.7871423480342,15,16.8,NA,16.8,252,1080.7871423480342,252,1080.7871423480342
2/29/20,D2,5,water,Mv,2,43,1.5593,36.68,NA,1751.379636971623,1751.379636971623,43,23,NA,23,989,2740.379636971623,989,2740.379636971623
3/11/20,D2,5,water,Mv,3,30,1.066,30.73,NA,1218.8946976972388,1218.8946976972388,30,14.4,NA,14.4,432,1650.8946976972388,432,1650.8946976972388
2/22/20,D2,6,water,Mv,1,2,0.2728,12.64,NA,362.68741240949925,362.68741240949925,2,12,NA,12,24,386.68741240949925,24,386.68741240949925
2/26/20,D2,6,water,Mv,2,5,0.3375,16.49,NA,432.5268114994094,432.5268114994094,5,15,NA,15,75,507.5268114994094,75,507.5268114994094
2/26/20,D2,6,water,Mv,3,5,0.2363,8.75,NA,323.288060527247,323.288060527247,5,17.8,NA,17.8,89,412.288060527247,89,412.288060527247
3/10/20,D2,7,water,Mv,1,11,2.0794,26.07,NA,2312.7934154362647,2312.7934154362647,11,14.6,NA,14.6,160.6,2473.3934154362646,160.6,2473.3934154362646
3/10/20,D2,7,water,Mv,2,14,0.7049,29.62,NA,829.1109726374773,829.1109726374773,14,13.4,NA,13.4,187.6,1016.7109726374773,187.6,1016.7109726374773
3/10/20,D2,7,water,Mv,3,1,0.8713,25.58,NA,1008.7288398486218,1008.7288398486218,1,11.4,NA,11.4,11.4,1020.1288398486217,11.4,1020.1288398486217
2/26/20,D2,8,water,Mv,1,10,0.3935,17.3,NA,492.97513219546767,492.97513219546767,10,16.6,NA,16.6,166,658.9751321954677,166,658.9751321954677
2/25/20,D2,8,water,Mv,2,12,0.2745,10.73,NA,364.5224507163439,364.5224507163439,12,17.4,NA,17.4,208.79999999999998,573.3224507163438,208.79999999999998,573.3224507163438
2/22/20,D2,8,water,Mv,3,8,1.3925,36.62,NA,1571.3299960412212,1571.3299960412212,8,20,NA,20,160,1731.3299960412212,160,1731.3299960412212
2/28/20,D2,9,water,Mv,1,0,0.0561,5.98,NA,128.77400000171667,128.77400000171667,0,8,bags mixed up among plants,8,0,128.77400000171667,0,128.77400000171667
3/10/20,D2,9,water,Mv,2,2,0.0441,8.08,NA,115.82078842398991,115.82078842398991,2,7.5,bags mixed up among plants,7.5,15,130.8207884239899,15,130.8207884239899
2/25/20,D2,9,water,Mv,3,2,0.1106,9.89,NA,187.6031692505591,187.6031692505591,2,7.5,bags mixed up among plants,7.5,15,202.6031692505591,15,202.6031692505591
2/28/20,D2,10,water,Mv,1,1,0.1084,6.27,NA,185.2284137946425,185.2284137946425,1,11.6,NA,11.6,11.6,196.8284137946425,11.6,196.8284137946425
3/10/20,D2,10,water,Mv,2,2,0.3833,13.75,NA,481.9649023543999,481.9649023543999,2,7.4,NA,7.4,14.8,496.7649023543999,14.8,496.7649023543999
3/10/20,D2,10,water,Mv,3,4,0.3405,12.49,NA,435.76511439384115,435.76511439384115,4,7.4,NA,7.4,29.6,465.36511439384117,29.6,465.36511439384117
12/17/19,D3,1,fungicide,Mv,1,13,0.768,27.04,NA,897.2232768503573,897.2232768503573,13,8.8,NA,8.8,114.4,1011.6232768503572,114.4,1011.6232768503572
1/17/20,D3,1,fungicide,Mv,2,1,0.218,9.06,NA,303.5344128712137,303.5344128712137,1,8,NA,8,8,311.5344128712137,8,311.5344128712137
2/4/20,D3,1,fungicide,Mv,3,3,0.5882,12.66,NA,703.1409900440844,703.1409900440844,3,8.8,NA,8.8,26.400000000000002,729.5409900440844,26.400000000000002,729.5409900440844
2/4/20,D3,2,fungicide,Mv,1,5,1.7602,39.97,NA,1968.2379874687322,1968.2379874687322,5,13,NA,13,65,2033.2379874687322,65,2033.2379874687322
2/4/20,D3,2,fungicide,Mv,2,5,0.3785,11.8,NA,476.7836177233092,476.7836177233092,5,5.4,NA,5.4,27,503.7836177233092,27,503.7836177233092
1/29/20,D3,2,fungicide,Mv,3,7,1.026,30.8,NA,1175.7173257714828,1175.7173257714828,7,11,NA,11,77,1252.7173257714828,77,1252.7173257714828
1/27/20,D3,3,fungicide,Mv,1,4,0.4213,13.19,NA,522.983405683868,522.983405683868,4,11.4,NA,11.4,45.6,568.583405683868,45.6,568.583405683868
1/27/20,D3,3,fungicide,Mv,2,6,0.2858,10.59,NA,376.72005828536993,376.72005828536993,6,11.4,NA,11.4,68.4,445.12005828536996,68.4,445.12005828536996
1/27/20,D3,3,fungicide,Mv,3,2,0.4034,12.63,NA,503.6615317470922,503.6615317470922,2,14,NA,14,28,531.6615317470922,28,531.6615317470922
1/22/20,D3,4,fungicide,Mv,1,7,0.2973,8.41,NA,389.13355271402475,389.13355271402475,7,21.2,NA,21.2,148.4,537.5335527140247,148.4,537.5335527140247
12/7/19,D3,4,fungicide,Mv,2,2,0.1385,4.93,NA,217.71938616877384,217.71938616877384,2,15.8,NA,15.8,31.6,249.31938616877383,31.6,249.31938616877383
1/31/20,D3,4,fungicide,Mv,3,2,0.1681,5.53,NA,249.6706413938332,249.6706413938332,2,13.6,NA,13.6,27.2,276.8706413938332,27.2,276.8706413938332
1/31/20,D3,5,fungicide,Mv,1,12,0.8526,31.77,NA,988.543418473331,988.543418473331,12,10.6,NA,10.6,127.19999999999999,1115.743418473331,127.19999999999999,1115.743418473331
1/29/20,D3,5,fungicide,Mv,2,8,0.658,23.44,NA,778.4855040545285,778.4855040545285,8,12.2,NA,12.2,97.6,876.0855040545285,97.6,876.0855040545285
1/31/20,D3,5,fungicide,Mv,3,7,0.4008,17.4,NA,500.8550025719181,500.8550025719181,7,13.2,NA,13.2,92.39999999999999,593.2550025719181,92.39999999999999,593.2550025719181
NA,D3,6,fungicide,Mv,1,5,0.4952,5.64,NA,602.753600316702,602.753600316702,5,8.25,bags mixed up among plants,8.25,41.25,644.003600316702,41.25,644.003600316702
NA,D3,6,fungicide,Mv,2,8,0.7215,9.04,NA,847.029581986666,847.029581986666,8,7.8,bags mixed up among plants,7.8,62.4,909.429581986666,62.4,909.429581986666
12/7/19,D3,6,fungicide,Mv,3,14,0.3914,14.23,NA,490.7083201693655,490.7083201693655,14,4.6,bags mixed up among plants,4.6,64.39999999999999,555.1083201693655,64.39999999999999,555.1083201693655
1/29/20,D3,7,fungicide,Mv,1,3,0.7798,24.67,NA,909.9606015684553,909.9606015684553,3,5.6,NA,5.6,16.799999999999997,926.7606015684553,16.799999999999997,926.7606015684553
2/4/20,D3,7,fungicide,Mv,2,7,1.1784,NA,"biomass from D4 8W Mv1 added to bag, total = 17.28",1340.2231128086125,1340.2231128086125,7,7.8,NA,7.8,54.6,1394.8231128086124,54.6,1394.8231128086124
12/7/19,D3,7,fungicide,Mv,3,5,0.3273,11.85,NA,421.51658165834164,421.51658165834164,5,4,NA,4,20,441.51658165834164,20,441.51658165834164
12/7/19,D3,8,fungicide,Mv,1,31,0.7965,25.95,NA,927.9871543474583,927.9871543474583,31,7.6,NA,7.6,235.6,1163.5871543474582,235.6,1163.5871543474582
1/22/20,D3,8,fungicide,Mv,2,10,0.7901,26.25,NA,921.0787748393374,921.0787748393374,10,13.2,NA,13.2,132,1053.0787748393373,132,1053.0787748393373
1/22/20,D3,8,fungicide,Mv,3,9,0.5342,14.52,NA,644.851537944314,644.851537944314,9,12.8,NA,12.8,115.2,760.0515379443141,115.2,760.0515379443141
12/17/19,D3,9,fungicide,Mv,1,11,0.3826,11.12,NA,481.20929834569915,481.20929834569915,11,9.2,NA,9.2,101.19999999999999,582.4092983456992,101.19999999999999,582.4092983456992
1/27/20,D3,9,fungicide,Mv,2,3,0.1771,11.59,NA,259.3855500771283,259.3855500771283,3,8.4,NA,8.4,25.200000000000003,284.5855500771283,25.200000000000003,284.5855500771283
12/17/20,D3,9,fungicide,Mv,3,22,1.1185,29.08,NA,1275.5649983497933,1275.5649983497933,22,12.6,NA,12.6,277.2,1552.7649983497934,277.2,1552.7649983497934
1/29/20,D3,10,fungicide,Mv,1,8,0.3734,6.22,NA,471.27850280277534,471.27850280277534,8,7.4,NA,7.4,59.2,530.4785028027753,59.2,530.4785028027753
1/31/20,D3,10,fungicide,Mv,2,2,0.2604,7.34,NA,349.3024271125149,349.3024271125149,2,9.6,NA,9.6,19.2,368.5024271125149,19.2,368.5024271125149
1/31/20,D3,10,fungicide,Mv,3,3,0.0915,10.88,NA,166.98597415601063,166.98597415601063,3,9.6,NA,9.6,28.799999999999997,195.78597415601064,28.799999999999997,195.78597415601064
1/31/20,D3,1,water,Mv,1,2,0.5727,12.67,NA,686.4097584228541,686.4097584228541,2,8,NA,8,16,702.4097584228541,16,702.4097584228541
1/27/20,D3,1,water,Mv,2,9,1.4327,14.95,NA,1614.7232548266059,1614.7232548266059,9,8.4,NA,8.4,75.60000000000001,1690.3232548266058,75.60000000000001,1690.3232548266058
